Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
T1,05/08/2022,19:00,Istanbulspor,Trabzonspor,0,2,A,0,1,A,3,13,2,5,13,11,1,10,2,2,0,0,4.7,3.75,1.61,4.6,3.75,1.7,4.8,3.85,1.7,4.89,3.84,1.77,4.75,3.8,1.67,4.75,3.8,1.73,5,4.1,1.77,4.66,3.8,1.71,1.75,2.05,1.8,2.09,1.81,2.12,1.76,2.04,0.75,1.88,1.98,1.91,1.99,1.96,2.03,1.9,1.94,4.75,3.8,1.57,5,3.9,1.63,5.25,4,1.63,5.56,4.28,1.62,5.25,4,1.6,5.5,4,1.6,6.2,4.39,1.66,5.27,4.03,1.61,1.66,2.15,1.66,2.32,1.77,2.33,1.68,2.17,1,1.83,2.02,1.86,2.05,1.89,2.13,1.8,2.05
T1,06/08/2022,17:15,Sivasspor,Gaziantep,1,1,D,0,1,A,9,16,3,6,11,14,2,6,2,3,0,0,1.95,3.5,3.3,2,3.5,3.5,2.05,3.55,3.5,2.01,3.71,3.81,2,3.4,3.6,2.05,3.5,3.6,2.09,3.72,3.83,2,3.56,3.56,1.88,1.98,1.88,2.01,1.93,2.01,1.85,1.94,-0.5,2.02,1.83,2.01,1.89,2.09,1.89,2.01,1.83,2.15,3.4,3,2.2,3.25,3.2,2.3,3.4,3.1,2.21,3.51,3.45,2.2,3.3,3.2,2.2,3.4,3.25,2.3,3.7,3.62,2.22,3.38,3.19,1.95,1.9,1.97,1.92,1.99,1.96,1.93,1.86,-0.25,1.9,1.95,1.9,2,1.97,2,1.92,1.92
T1,06/08/2022,19:45,Besiktas,Kayserispor,1,0,H,0,0,D,20,5,6,1,22,14,9,4,5,2,1,1,1.5,4.33,5.25,1.51,4.2,5.75,1.53,4.3,6,1.52,4.6,6.44,1.47,4.2,6.5,1.5,4.2,6.5,1.55,4.7,6.5,1.5,4.39,6.04,1.7,2.1,1.71,2.23,1.83,2.23,1.71,2.12,-1,1.83,2.02,1.85,2.06,1.9,2.06,1.83,2.01,1.5,4.5,5,1.5,4.4,5.75,1.6,4.3,5.25,1.54,4.69,5.96,1.47,4.4,6,1.5,4.5,6,1.6,4.75,6.25,1.51,4.51,5.76,1.57,2.35,1.61,2.43,1.67,2.44,1.6,2.32,-1,1.83,2.02,1.85,2.07,1.95,2.08,1.83,2.01
T1,07/08/2022,17:15,Giresunspor,Ad. Demirspor,2,3,A,0,2,A,14,10,5,4,21,16,6,1,3,2,0,0,2.87,3.4,2.2,2.8,3.4,2.35,2.95,3.45,2.35,3.07,3.69,2.32,2.9,3.4,2.3,3,3.4,2.38,3.07,3.69,2.39,2.94,3.49,2.3,1.8,2,1.82,2.07,1.88,2.07,1.8,2,0.25,1.85,2,1.89,2.02,1.89,2.07,1.84,1.99,3,3.3,2.25,3,3.3,2.25,3.1,3.3,2.3,3.17,3.5,2.34,3.1,3.2,2.3,3.1,3.4,2.3,3.2,3.55,2.35,3.07,3.36,2.28,2,1.85,2.02,1.87,2.02,2,1.96,1.84,0.25,1.83,2.02,1.89,2.02,1.93,2.06,1.85,1.99
T1,07/08/2022,17:15,Karagumruk,Alanyaspor,2,4,A,0,2,A,17,10,4,6,19,19,10,3,2,3,0,0,2.55,3.5,2.4,2.6,3.3,2.55,2.65,3.45,2.55,2.72,3.66,2.59,2.62,3.4,2.55,2.7,3.4,2.55,2.73,3.66,2.6,2.65,3.46,2.53,1.75,2.05,1.8,2.09,1.88,2.09,1.79,2.02,0,1.98,1.88,2,1.91,2.02,1.91,1.96,1.87,2.25,3.5,2.75,2.35,3.4,2.8,2.35,3.5,2.85,2.33,3.7,3.05,2.25,3.4,3,2.3,3.5,3,2.45,3.73,3.05,2.3,3.55,2.9,1.72,2.07,1.78,2.12,1.79,2.23,1.72,2.1,-0.25,2,1.85,2.02,1.88,2.16,1.95,2,1.85
T1,07/08/2022,19:45,Antalyaspor,Galatasaray,0,1,A,0,0,D,12,13,4,4,17,16,1,6,2,4,0,0,2.37,3.6,2.6,2.45,3.4,2.65,2.55,3.45,2.7,2.55,3.54,2.83,2.45,3.4,2.7,2.55,3.4,2.7,2.6,3.72,2.84,2.48,3.47,2.7,1.72,2.07,1.74,2.18,1.85,2.18,1.73,2.09,0,1.85,2,1.85,2.06,1.91,2.06,1.84,1.99,2.37,3.4,2.62,2.45,3.25,2.75,2.55,3.45,2.7,2.53,3.45,2.92,2.55,3.4,2.62,2.5,3.4,2.75,2.57,3.6,2.92,2.49,3.38,2.74,1.93,1.93,1.93,1.95,1.97,2.04,1.87,1.93,0,1.83,2.02,1.82,2.11,1.91,2.11,1.82,2.03
T1,08/08/2022,17:15,Buyuksehyr,Kasimpasa,4,0,H,2,0,H,15,9,7,3,14,15,6,5,2,3,0,0,1.75,3.6,4.2,1.85,3.5,4.1,1.85,3.6,4.2,1.83,3.74,4.49,1.8,3.6,4.2,1.85,3.5,4.33,1.88,3.92,4.5,1.82,3.62,4.19,1.9,1.95,1.81,2.06,1.94,2.06,1.83,1.96,-0.5,1.8,2.05,1.83,2.07,1.87,2.07,1.83,2.02,1.95,3.4,3.6,1.98,3.4,3.6,2,3.5,3.65,1.95,3.7,4.06,2,3.3,3.7,2,3.6,3.7,2.05,3.73,4.06,1.97,3.52,3.71,1.93,1.93,1.9,1.99,1.94,2.06,1.83,1.97,-0.5,1.98,1.88,1.95,1.95,2.07,1.95,1.98,1.87
T1,08/08/2022,19:45,Ankaragucu,Konyaspor,0,0,D,0,0,D,12,10,3,0,14,6,6,3,1,0,0,0,2.9,3.4,2.15,3.1,3.4,2.2,3.1,3.45,2.25,3.33,3.54,2.22,3.1,3.4,2.2,3.2,3.4,2.25,3.33,3.65,2.27,3.14,3.44,2.2,1.9,1.95,1.88,1.99,1.94,2,1.86,1.92,0.25,1.9,1.95,1.97,1.92,1.97,1.98,1.91,1.91,2.9,3.5,2.15,3,3.4,2.25,2.95,3.5,2.3,3.15,3.52,2.34,3.1,3.4,2.2,3.1,3.4,2.3,3.27,3.7,2.34,3.02,3.46,2.27,1.85,2,1.88,2.01,1.88,2.03,1.83,1.97,0.25,1.88,1.98,1.88,2.02,1.91,2.03,1.87,1.98
T1,08/08/2022,19:45,Fenerbahce,Umraniyespor,3,3,D,2,1,H,17,10,6,5,14,13,5,5,7,2,0,0,1.33,5,7.5,1.35,5,8,1.35,5.25,8.25,1.32,5.59,9.84,1.32,5,9,1.33,5.25,9.5,1.36,5.6,10,1.32,5.21,8.79,1.57,2.35,1.59,2.45,1.63,2.45,1.58,2.36,-1.5,1.98,1.88,1.93,1.95,2.02,1.95,1.95,1.89,1.22,5.25,9,1.27,5.75,9.25,1.3,5.5,9.5,1.33,5.59,9.24,1.24,5.8,9.5,1.29,6,9.5,1.34,6.81,12.4,1.28,5.74,9.38,1.47,2.6,1.46,2.81,1.49,2.82,1.44,2.71,-1.5,1.73,2.08,1.81,2.08,1.88,2.14,1.79,2.06
T1,12/08/2022,19:00,Trabzonspor,Hatayspor,1,0,H,0,0,D,21,7,6,3,18,10,11,2,2,3,0,0,1.5,4.5,6.5,1.49,4.33,6,1.53,4.1,6.25,1.5,4.61,6.71,1.47,4.2,6.5,1.45,4.33,7,1.53,4.7,7,1.49,4.4,6.33,1.66,2.15,1.7,2.24,1.7,2.25,1.67,2.19,-1,1.75,2.05,1.81,2.1,1.9,2.14,1.8,2.06,1.44,4.5,7.5,1.44,4.5,6.5,1.5,4.4,6.25,1.5,4.66,6.75,1.42,4.4,7,1.4,4.75,7.5,1.5,4.98,7.5,1.45,4.56,6.68,1.65,2.2,1.7,2.26,1.7,2.32,1.65,2.23,-1.25,2,1.85,2.07,1.85,2.1,1.92,2.01,1.84
