HomeTeamName,HomeTeamid,Div
Anderlecht,554,144
Antwerp,740,144
Beerschot VA,263,144
Bergen,4653,144
Cercle Brugge,741,144
Charleroi,736,144
Club Brugge,569,144
Eupen,739,144
Genk,742,144
Gent,631,144
Germinal,4654,144
Kortrijk,734,144
Lierse,1392,144
Lokeren,737,144
Mechelen,266,144
Mouscron,743,144
Mouscron-Peruwelz,6224,144
Oostende,624,144
Oud-Heverlee Leuven,260,144
Seraing,10244,144
St Truiden,735,144
St. Gilloise,1393,144
Standard,733,144
Waasland-Beveren,738,144
Waregem,600,144
Westerlo,261,144
