HomeTeamName,HomeTeamid,Div
Aston Villa,66,40
Barnsley,747,40
Birmingham,54,40
Blackburn,67,40
Blackpool,1356,40
Bolton,68,40
Bournemouth,35,40
Brentford,55,40
Brighton,51,40
Bristol City,56,40
Burnley,44,40
Burton,748,40
Cardiff,43,40
Charlton,1335,40
Coventry,1346,40
Crystal Palace,52,40
Derby,69,40
Doncaster,1354,40
Fulham,36,40
Huddersfield,37,40
Hull,64,40
Ipswich,57,40
Leeds,63,40
Leicester,46,40
Luton,1359,40
Middlesbrough,70,40
Millwall,58,40
Milton Keynes Dons,1348,40
Newcastle,34,40
Norwich,71,40
Nott'm Forest,65,40
Peterboro,1350,40
Portsmouth,1355,40
Preston,59,40
QPR,72,40
Reading,53,40
Rotherham,73,40
Scunthorpe,0,40
Sheffield United,62,40
Sheffield Weds,74,40
Southampton,41,40
Stoke,75,40
Sunderland,746,40
Swansea,76,40
Watford,38,40
West Brom,60,40
West Ham,48,40
Wigan,61,40
Wolves,39,40
Wycombe,1358,40
Yeovil,1377,40
