HomeTeamName,HomeTeamid,Div
Ajaccio,98,62
Ajaccio GFCO,98,62
Amiens,87,62
Angers,77,62
Annecy,3012,62
Arles,4652,62
Auxerre,108,62
Bastia,1305,62
Beziers,109,62
Bordeaux,78,62
Boulogne,1299,62
Bourg Peronnas,430,62
Brest,106,62
CA Bastia,1312,62
Caen,88,62
Chambly,1291,62
Chateauroux,107,62
Clermont,99,62
Creteil,1307,62
Dijon,89,62
Dunkerque,1304,62
Evian Thonon Gaillard,3006,62
Grenoble,101,62
Guingamp,90,62
Istres,3267,62
Laval,433,62
Le Havre,111,62
Le Mans,1298,62
Lens,116,62
Lorient,97,62
Metz,112,62
Monaco,91,62
Nancy,102,62
Nantes,83,62
Nimes,92,62
Niort,113,62
Orleans,103,62
Paris FC,114,62
Pau FC,1297,62
Quevilly Rouen,431,62
Red Star,104,62
Reims,93,62
Rodez,1301,62
Sedan,1310,62
Sochaux,115,62
St Etienne,1063,62
Strasbourg,95,62
Toulouse,96,62
Tours,432,62
Troyes,110,62
Valenciennes,105,62
Vannes,3129,62
