HomeTeamName,HomeTeamid,Div
Aachen,4259,79
Aalen,1327,79
Bielefeld,188,79
Bochum,176,79
Braunschweig,744,79
Cottbus,1320,79
Darmstadt,181,79
Dresden,183,79
Duisburg,187,79
Ein Frankfurt,169,79
Erzgebirge Aue,190,79
FC Koln,192,79
Fortuna Dusseldorf,158,79
Frankfurt FSV,1332,79
Freiburg,160,79
Greuther Furth,178,79
Hamburg,175,79
Hannover,166,79
Hansa Rostock,1321,79
Heidenheim,180,79
Hertha,159,79
Holstein Kiel,191,79
Ingolstadt,184,79
Kaiserslautern,745,79
Karlsruhe,785,79
Magdeburg,179,79
Munich 1860,786,79
Nurnberg,171,79
Osnabruck,1324,79
Paderborn,185,79
RB Leipzig,173,79
Regensburg,177,79
Sandhausen,189,79
Schalke 04,174,79
St Pauli,186,79
Stuttgart,172,79
Union Berlin,182,79
Wehen,1319,79
Werder Bremen,162,79
Wurzburger Kickers,784,79
