HomeTeamName,HomeTeamid,Div
AEK,575,197
Apollon,951,197
Aris,1123,197
Asteras Tripolis,955,197
Atromitos,12260,197
Doxa Dramas,2104,197
Ergotelis,2105,197
Giannina,950,197
Ionikos,7513,197
Iraklis,2109,197
Kallonis,2087,197
Kerkyra,2111,197
Lamia,956,197
Larisa,953,197
Levadeiakos,957,197
Niki Volos,5056,197
OFI,1124,197
OFI Crete,1124,197
Olympiakos,553,197
PAOK,619,197
Panathinaikos,617,197
Panetolikos,949,197
Panionios,622,197
Panthrakikos,2090,197
Platanias,958,197
Veria,961,197
Volos NFC,2110,197
Xanthi,959,197
