HomeTeamName,HomeTeamid,Div
Atalanta,499,135
Bari,508,135
Benevento,506,135
Bologna,500,135
Brescia,518,135
Cagliari,490,135
Carpi,519,135
Catania,1580,135
Cesena,509,135
Chievo,491,135
Crotone,501,135
Empoli,511,135
Fiorentina,502,135
Frosinone,512,135
Genoa,495,135
Inter,505,135
Juventus,496,135
Lazio,487,135
Lecce,867,135
Livorno,868,135
Milan,489,135
Napoli,492,135
Novara,513,135
Palermo,522,135
Parma,523,135
Pescara,525,135
Roma,497,135
Salernitana,514,135
Sampdoria,498,135
Sassuolo,488,135
Siena,1583,135
Spal,493,135
Spezia,515,135
Torino,503,135
Udinese,494,135
Venezia,517,135
Verona,504,135
