HomeTeamName,HomeTeamid,Div
Alessandria,878,136
Ascoli,507,136
Avellino,528,136
Bari,508,136
Benevento,506,136
Brescia,518,136
Cagliari,490,136
Carpi,519,136
Cesena,509,136
Chievo,491,136
Cittadella,510,136
Como,895,136
Cosenza,864,136
Cremonese,520,136
Crotone,501,136
Empoli,511,136
Foggia,521,136
Frosinone,512,136
Genoa,495,136
Juve Stabia,863,136
Latina,804,136
Lecce,867,136
Livorno,868,136
Modena,899,136
Monza,1579,136
Novara,513,136
Padova,870,136
Palermo,522,136
Parma,523,136
Perugia,524,136
Pescara,525,136
Pisa,801,136
Pordenone,862,136
Pro Vercelli,526,136
Reggiana,880,136
Reggina,1692,136
Salernitana,514,136
Spal,493,136
Spezia,515,136
Sudtirol,1578,136
Ternana,516,136
Trapani,803,136
Venezia,517,136
Verona,504,136
Vicenza,1584,136
Virtus Entella,527,136
