HomeTeamName,HomeTeamid,Div
Academica,239,94
Arouca,240,94
Aves,220,94
Beira Mar,4661,94
Belenenses,221,94
Benfica,211,94
Boavista,222,94
Casa Pia,4716,94
Chaves,223,94
Estoril,230,94
Famalicao,242,94
Farense,231,94
Feirense,213,94
Gil Vicente,762,94
Guimaraes,224,94
Leiria,4662,94
Maritimo,214,94
Moreirense,215,94
Nacional,225,94
Naval,4664,94
Olhanense,807,94
Pacos Ferreira,234,94
Penafiel,235,94
Portimonense,216,94
Porto,212,94
Rio Ave,226,94
Santa Clara,227,94
Setubal,219,94
Sp Braga,217,94
Sp Lisbon,228,94
Tondela,218,94
Uniao Madeira,763,94
Vizela,810,94
