HomeTeamName,HomeTeamid,Div
Alaves,542,140
Almeria,723,140
Ath Bilbao,531,140
Ath Madrid,530,140
Barcelona,529,140
Betis,543,140
Cadiz,724,140
Celta,538,140
Cordoba,713,140
Eibar,545,140
Elche,797,140
Espanol,540,140
Getafe,546,140
Girona,547,140
Granada,715,140
Hercules,4666,140
Huesca,726,140
La Coruna,544,140
Las Palmas,534,140
Leganes,537,140
Levante,539,140
Malaga,535,140
Mallorca,798,140
Osasuna,727,140
Real Madrid,541,140
Santander,4665,140
Sevilla,536,140
Sociedad,548,140
Sp Gijon,731,140
Valencia,532,140
Valladolid,720,140
Vallecano,728,140
Villarreal,533,140
Zaragoza,732,140
