HomeTeamName,HomeTeamid,Div
Alaves,542,141
Albacete,722,141
Alcorcon,711,141
Almeria,723,141
Amorebieta,9380,141
Barcelona B,712,141
Burgos,9580,141
Cadiz,724,141
Cartagena,5262,141
Castellon,5254,141
Cordoba,713,141
Eibar,545,141
Elche,797,141
Espanol,540,141
Extremadura UD,860,141
Fuenlabrada,4906,141
Getafe,546,141
Gimnastic,714,141
Girona,547,141
Granada,715,141
Huesca,726,141
Ibiza,9390,141
La Coruna,544,141
Las Palmas,534,141
Leganes,537,141
Leonesa,725,141
Levante,539,141
Logrones,5280,141
Lorca,721,141
Lugo,716,141
Malaga,535,141
Mallorca,798,141
Mirandes,799,141
Murcia,800,141
Numancia,717,141
Osasuna,727,141
Oviedo,718,141
Ponferradina,4907,141
Rayo Majadahonda,861,141
Reus Deportiu,729,141
Sabadell,9593,141
Santander,4665,141
Sevilla B,730,141
Sociedad B,9585,141
Sp Gijon,731,141
Tenerife,719,141
UCAM Murcia,800,141
Valladolid,720,141
Vallecano,728,141
Villarreal B,9595,141
Zaragoza,732,141
