HomeTeamName,HomeTeamid,Div
Ad. Demirspor,3563,203
Adanaspor,3564,203
Akhisar Belediyespor,995,203
Alanyaspor,996,203
Altay,3566,203
Ankaragucu,1010,203
Antalyaspor,1005,203
Balikesirspor,3568,203
Besiktas,549,203
Bucaspor,1003,203
Bursaspor,1003,203
Buyuksehyr,564,203
Denizlispor,3570,203
Elazigspor,3571,203
Erciyesspor,11099,203
Erzurum BB,1009,203
Eskisehirspor,3572,203
Fenerbahce,611,203
Galatasaray,645,203
Gaziantep,3573,203
Gaziantepspor,1008,203
Genclerbirligi,997,203
Giresunspor,3574,203
Goztep,994,203
Hatayspor,3575,203
Istanbulspor,3578,203
Karabukspor,1000,203
Karagumruk,3589,203
Kasimpasa,1004,203
Kayserispor,1001,203
Konyaspor,607,203
Manisaspor,3598,203
Mersin Idman Yurdu,13382,203
Orduspor,11104,203
Osmanlispor,780,203
Rizespor,1007,203
Samsunspor,3603,203
Sivasspor,1002,203
Trabzonspor,998,203
Umraniyespor,3577,203
Yeni Malatyaspor,999,203
