Season;Date;HomeTeamid;HomeTeamName;AwayTeamId;AwayTeamName;HomeGoals;AwayGoals;FullTimeResult;AverageHomeWinOdd;AverageDrawWinOdd;AverageAwayWinOdd;AvgOver2_5;AvgUnder2_5;Div
2010;30/07/2010;733;Standard;600;Waregem;1;1;D;1.73;3.6;4.75;1.93;1.83;144;
2010;31/07/2010;554;Anderlecht;739;Eupen;4;1;H;1.2;6.5;10;1.51;2.41;144;
2010;31/07/2010;734;Kortrijk;569;Club Brugge;1;0;H;3.75;3.3;1.91;1.77;2.01;144;
2010;31/07/2010;266;Mechelen;737;Lokeren;2;0;H;1.91;3.3;3.8;1.76;2;144;
2010;31/07/2010;735;St Truiden;1392;Lierse;1;0;H;2.1;3.2;3.2;1.84;1.93;144;
2010;31/07/2010;261;Westerlo;631;Gent;0;1;A;2.9;3.2;2.3;1.98;1.78;144;
2010;01/08/2010;741;Cercle Brugge;736;Charleroi;1;1;D;1.8;3.5;4;1.82;1.95;144;
2010;01/08/2010;742;Genk;4654;Germinal;2;1;H;1.91;3.3;3.75;1.96;1.8;144;
2010;06/08/2010;1392;Lierse;733;Standard;1;4;A;3.1;3.3;2.3;1.99;1.78;144;
2010;07/08/2010;736;Charleroi;554;Anderlecht;0;0;D;7;3.8;1.5;1.66;2.11;144;
2010;07/08/2010;569;Club Brugge;735;St Truiden;4;1;H;1.33;4.75;9;1.67;2.09;144;
2010;07/08/2010;739;Eupen;261;Westerlo;0;1;A;3.1;3.4;2.2;1.99;1.76;144;
2010;07/08/2010;737;Lokeren;734;Kortrijk;1;1;D;2.15;3.4;3.25;1.93;1.81;144;
2010;07/08/2010;600;Waregem;266;Mechelen;1;2;A;2;3.4;3.6;1.9;1.84;144;
2010;08/08/2010;631;Gent;742;Genk;0;4;A;2;3.4;3.6;1.89;1.86;144;
2010;08/08/2010;4654;Germinal;741;Cercle Brugge;0;0;D;1.9;3.4;4;1.86;1.89;144;
2010;14/08/2010;554;Anderlecht;4654;Germinal;4;0;H;1.33;5;9;1.62;2.16;144;
2010;14/08/2010;631;Gent;739;Eupen;2;1;H;1.33;5;9;1.65;2.1;144;
2010;14/08/2010;734;Kortrijk;735;St Truiden;2;0;H;1.91;3.4;4;1.99;1.76;144;
2010;14/08/2010;266;Mechelen;1392;Lierse;1;0;H;1.91;3.4;4;1.95;1.79;144;
2010;14/08/2010;733;Standard;737;Lokeren;3;3;D;1.53;3.8;6.5;1.89;1.85;144;
2010;14/08/2010;261;Westerlo;600;Waregem;1;1;D;2.2;3.25;3.3;2.01;1.75;144;
2010;15/08/2010;741;Cercle Brugge;569;Club Brugge;3;1;H;5;3.75;1.67;1.77;1.98;144;
2010;15/08/2010;742;Genk;736;Charleroi;5;0;H;1.44;4.33;7;1.69;2.07;144;
2010;20/08/2010;735;St Truiden;733;Standard;1;0;H;3.3;3.3;2.15;1.9;1.85;144;
