Season;Date;HomeTeamid;HomeTeamName;AwayTeamId;AwayTeamName;HomeGoals;AwayGoals;FullTimeResult;AverageHomeWinOdd;AverageDrawWinOdd;AverageAwayWinOdd;AvgOver2_5;AvgUnder2_5;Div
2010;07/08/2010;108;Auxerre;97;Lorient;2;2;D;1.91;3.3;4.2;2.44;1.51;61;
2010;07/08/2010;116;Lens;102;Nancy;1;2;A;2.1;3.1;3.8;2.35;1.54;61;
2010;07/08/2010;80;Lyon;91;Monaco;0;0;D;1.44;4;8;2.06;1.72;61;
2010;07/08/2010;81;Marseille;88;Caen;1;2;A;1.25;5.5;12;1.75;2;61;
2010;07/08/2010;84;Nice;105;Valenciennes;0;0;D;2.1;3.1;3.75;2.24;1.59;61;
2010;07/08/2010;0;Paris SG;0;St Etienne;3;1;H;1.73;3.4;5.25;2.2;1.61;61;
2010;07/08/2010;94;Rennes;79;Lille;1;1;D;2.4;3.1;3.1;2.16;1.64;61;
2010;07/08/2010;115;Sochaux;4652;Arles;2;1;H;1.8;3.25;5;2.38;1.53;61;
2010;07/08/2010;96;Toulouse;0;Brest;2;0;H;1.62;3.5;6;2.41;1.52;61;
2010;08/08/2010;82;Montpellier;78;Bordeaux;1;0;H;3.2;3;2.4;2.32;1.55;61;
2010;14/08/2010;4652;Arles;116;Lens;0;1;A;3;3;2.5;2.45;1.5;61;
2010;15/08/2010;78;Bordeaux;96;Toulouse;1;2;A;1.6;3.6;6.25;2.2;1.61;61;
2010;14/08/2010;0;Brest;108;Auxerre;1;1;D;3.1;2.9;2.5;2.45;1.5;61;
2010;15/08/2010;88;Caen;80;Lyon;3;2;H;4.33;3.25;1.91;2.24;1.59;61;
2010;15/08/2010;79;Lille;0;Paris SG;0;0;D;2.05;3.2;3.75;2.11;1.66;61;
2010;14/08/2010;97;Lorient;84;Nice;1;2;A;1.95;3.2;4.2;2.25;1.58;61;
2010;14/08/2010;102;Nancy;94;Rennes;0;3;A;2.6;3;2.88;2.26;1.58;61;
2010;14/08/2010;0;St Etienne;115;Sochaux;3;2;H;2;3.1;4.2;2.33;1.55;61;
2010;14/08/2010;105;Valenciennes;81;Marseille;3;2;H;3.75;3.25;2.05;2.16;1.64;61;
2010;17/08/2010;91;Monaco;82;Montpellier;0;0;D;2.25;3.1;3.3;2.42;1.51;61;
2010;21/08/2010;108;Auxerre;105;Valenciennes;1;1;D;2.2;3;3.6;2.44;1.51;61;
2010;21/08/2010;116;Lens;91;Monaco;2;2;D;2.3;3;3.4;2.45;1.51;61;
2010;21/08/2010;80;Lyon;0;Brest;1;0;H;1.4;4.5;7.5;1.92;1.83;61;
2010;21/08/2010;81;Marseille;97;Lorient;2;0;H;1.62;3.4;6.5;1.94;1.82;61;
2010;21/08/2010;84;Nice;102;Nancy;1;1;D;2.38;3;3.2;2.35;1.54;61;
2010;21/08/2010;94;Rennes;0;St Etienne;0;0;D;1.75;3.3;5.25;2.18;1.63;61;
2010;21/08/2010;96;Toulouse;4652;Arles;2;1;H;1.62;3.6;6;2.26;1.58;61;
2010;22/08/2010;82;Montpellier;88;Caen;0;0;D;2.1;3.1;3.75;2.35;1.54;61;
2010;22/08/2010;0;Paris SG;78;Bordeaux;1;2;A;2.2;3.1;3.5;2.21;1.61;61;
2010;22/08/2010;115;Sochaux;79;Lille;0;0;D;4;3.1;2.05;2.21;1.6;61;
2010;28/08/2010;4652;Arles;94;Rennes;0;1;A;3.25;3;2.38;2.23;1.61;61;
2010;28/08/2010;88;Caen;0;Brest;0;2;A;1.91;3.25;4.33;2.23;1.6;61;
2010;28/08/2010;97;Lorient;80;Lyon;2;0;H;3.25;3.1;2.3;2.13;1.66;61;
2010;28/08/2010;102;Nancy;96;Toulouse;0;2;A;2.4;3;3.2;2.35;1.55;61;
2010;28/08/2010;0;St Etienne;116;Lens;3;1;H;2.05;3.1;4;2.26;1.59;61;
2010;28/08/2010;105;Valenciennes;82;Montpellier;0;1;A;2.2;3;3.6;2.3;1.57;61;
2010;29/08/2010;78;Bordeaux;81;Marseille;1;1;D;2.4;3.1;3.1;2.02;1.75;61;
2010;29/08/2010;79;Lille;84;Nice;1;1;D;1.5;3.75;7.5;2.12;1.68;61;
2010;29/08/2010;91;Monaco;108;Auxerre;2;0;H;2.38;3;3.25;2.37;1.54;61;
2010;29/08/2010;115;Sochaux;0;Paris SG;3;1;H;3.25;3.1;2.3;2.23;1.6;61;
2010;11/09/2010;108;Auxerre;88;Caen;1;1;D;2.05;3.1;4;2.45;1.51;61;
2010;11/09/2010;116;Lens;79;Lille;1;4;A;3.2;3;2.4;2.23;1.6;61;
2010;11/09/2010;80;Lyon;105;Valenciennes;1;1;D;1.53;3.75;7;2.12;1.66;61;
2010;11/09/2010;82;Montpellier;102;Nancy;1;2;A;1.85;3.2;4.75;2.35;1.54;61;
2010;11/09/2010;0;Paris SG;4652;Arles;4;0;H;1.4;4.33;8.5;1.98;1.8;61;
2010;11/09/2010;94;Rennes;115;Sochaux;2;1;H;1.67;3.5;5.5;2.18;1.63;61;
2010;11/09/2010;96;Toulouse;0;St Etienne;0;1;A;1.8;3.25;5;2.3;1.57;61;
2010;12/09/2010;0;Brest;97;Lorient;0;0;D;2.5;3;3;2.35;1.55;61;
2010;12/09/2010;81;Marseille;91;Monaco;2;2;D;1.6;3.6;6;2.04;1.75;61;
2010;12/09/2010;84;Nice;78;Bordeaux;2;1;H;3.25;3.1;2.3;2.27;1.58;61;
2010;18/09/2010;4652;Arles;81;Marseille;0;3;A;5.25;3.6;1.67;2.1;1.7;61;
2010;18/09/2010;97;Lorient;88;Caen;0;1;A;2.2;3;3.6;2.46;1.51;61;
2010;18/09/2010;91;Monaco;96;Toulouse;0;0;D;2.3;3;3.4;2.47;1.5;61;
2010;18/09/2010;102;Nancy;0;Brest;0;2;A;2;3.2;3.9;2.29;1.56;61;
2010;18/09/2010;115;Sochaux;84;Nice;4;0;H;2.1;3.2;3.6;2.23;1.6;61;
2010;18/09/2010;0;St Etienne;82;Montpellier;3;0;H;2.05;3.2;3.8;2.3;1.56;61;
2010;18/09/2010;105;Valenciennes;116;Lens;1;1;D;2.1;3.1;3.4;2.19;1.63;61;
2010;19/09/2010;78;Bordeaux;80;Lyon;2;0;H;2.55;3;2.9;2.16;1.64;61;
2010;19/09/2010;79;Lille;108;Auxerre;1;0;H;1.85;3.25;4.6;2.24;1.59;61;
2010;19/09/2010;0;Paris SG;94;Rennes;0;0;D;2.15;3.2;3.5;2.2;1.61;61;
2010;25/09/2010;108;Auxerre;102;Nancy;2;2;D;2;3.2;4;2.4;1.52;61;
2010;25/09/2010;88;Caen;78;Bordeaux;0;0;D;3;2.9;2.6;2.24;1.58;61;
2010;25/09/2010;97;Lorient;91;Monaco;2;1;H;2.25;3;3.5;2.44;1.51;61;
2010;25/09/2010;80;Lyon;0;St Etienne;0;1;A;1.7;3.4;5.5;2.16;1.64;61;
2010;25/09/2010;81;Marseille;115;Sochaux;2;1;H;1.4;4.33;8.5;1.96;1.8;61;
2010;25/09/2010;82;Montpellier;4652;Arles;3;1;H;1.5;3.75;7.5;2.22;1.6;61;
2010;25/09/2010;84;Nice;94;Rennes;1;2;A;2.75;2.9;2.8;2.41;1.52;61;
