Season;Date;HomeTeamid;HomeTeamName;AwayTeamId;AwayTeamName;HomeGoals;AwayGoals;FullTimeResult;AverageHomeWinOdd;AverageDrawWinOdd;AverageAwayWinOdd;AvgOver2_5;AvgUnder2_5;Div
2010;27/08/2010;617;Panathinaikos;0;Xanthi;1;1;D;1.29;5;12;1.95;1.81;197;
2010;28/08/2010;2109;Iraklis;0;Olympiakos;2;1;H;7.5;4.2;1.44;2.13;1.64;197;
2010;28/08/2010;953;Larisa;12260;Atromitos;1;0;H;2.05;3.2;3.75;2.38;1.51;197;
2010;28/08/2010;622;Panionios;0;Olympiakos Volou;0;1;A;1.73;3.4;5.25;2.18;1.61;197;
2010;29/08/2010;2105;Ergotelis;955;Asteras Tripolis;0;1;A;2.3;3;3.4;2.33;1.54;197;
2010;29/08/2010;0;Kavala;0;Aris;0;1;A;3;3;2.5;2.42;1.5;197;
2010;29/08/2010;0;Kerkyra;0;AEK;2;1;H;7;4;1.5;2.08;1.67;197;
2010;29/08/2010;619;PAOK;0;Panserraikos;3;2;H;1.3;4.75;12;2.07;1.74;197;
2010;11/09/2010;0;Aris;617;Panathinaikos;0;1;A;3.25;3.1;2.3;2.44;1.5;197;
2010;11/09/2010;955;Asteras Tripolis;619;PAOK;0;0;D;3.75;3.1;2.1;2.52;1.47;197;
2010;11/09/2010;12260;Atromitos;2109;Iraklis;1;1;D;1.91;3.2;4.33;2.41;1.51;197;
2010;11/09/2010;0;Olympiakos;0;Kerkyra;2;0;H;1.17;6.5;19;1.78;2;197;
2010;12/09/2010;0;AEK;0;Panserraikos;2;0;H;1.33;5;9;1.82;1.94;197;
2010;12/09/2010;953;Larisa;0;Kavala;0;0;D;1.91;3.2;4.33;2.51;1.48;197;
2010;12/09/2010;0;Olympiakos Volou;2105;Ergotelis;0;1;A;2.2;3;3.6;2.38;1.52;197;
2010;12/09/2010;0;Xanthi;622;Panionios;1;1;D;2.1;3.1;3.75;2.53;1.47;197;
2010;18/09/2010;2105;Ergotelis;0;Xanthi;1;0;H;2.1;3.1;3.4;2.52;1.47;197;
2010;18/09/2010;2109;Iraklis;953;Larisa;1;0;H;2.45;3.1;2.8;2.49;1.48;197;
2010;18/09/2010;0;Kavala;617;Panathinaikos;2;2;D;5.5;3.6;1.57;2.17;1.62;197;
2010;19/09/2010;0;AEK;955;Asteras Tripolis;2;2;D;1.36;4.33;9.5;2.07;1.68;197;
2010;19/09/2010;0;Kerkyra;12260;Atromitos;3;1;H;2.7;3.1;2.7;2.53;1.47;197;
2010;19/09/2010;622;Panionios;0;Aris;1;0;H;2.7;3.1;2.7;2.53;1.47;197;
2010;19/09/2010;0;Panserraikos;0;Olympiakos;0;1;A;7;4.33;1.44;2.08;1.68;197;
2010;19/09/2010;619;PAOK;0;Olympiakos Volou;1;1;D;1.36;4.33;9.5;2.15;1.63;197;
2010;25/09/2010;12260;Atromitos;0;Panserraikos;2;1;H;1.67;3.5;5.5;2.34;1.54;197;
2010;25/09/2010;0;Olympiakos;955;Asteras Tripolis;3;0;H;1.2;6;15;1.76;2;197;
2010;25/09/2010;617;Panathinaikos;622;Panionios;2;1;H;1.29;5;11;1.89;1.86;197;
2010;26/09/2010;0;Aris;2105;Ergotelis;1;0;H;1.55;3.6;5.75;2.33;1.54;197;
2010;26/09/2010;2109;Iraklis;0;Kavala;0;1;A;2;3.2;3.5;2.46;1.49;197;
2010;26/09/2010;953;Larisa;0;Kerkyra;1;1;D;1.57;3.5;5.75;2.36;1.53;197;
2010;26/09/2010;0;Olympiakos Volou;0;AEK;3;1;H;3.8;3.25;1.91;2.16;1.63;197;
2010;26/09/2010;0;Xanthi;619;PAOK;1;0;H;3.9;3.1;1.95;2.49;1.48;197;
2010;02/10/2010;955;Asteras Tripolis;12260;Atromitos;1;1;D;2.3;3;3.1;2.43;1.5;197;
2010;02/10/2010;0;Kavala;622;Panionios;2;1;H;2.3;3;3.1;2.49;1.48;197;
2010;02/10/2010;0;Olympiakos;0;Olympiakos Volou;3;1;H;1.2;5.5;13;1.73;2.06;197;
2010;03/10/2010;0;AEK;0;Xanthi;1;0;H;1.4;4;7.5;2.03;1.75;197;
2010;03/10/2010;2105;Ergotelis;617;Panathinaikos;1;4;A;5.25;3.5;1.62;2.2;1.61;197;
2010;03/10/2010;0;Kerkyra;2109;Iraklis;0;0;D;2.3;3;3.1;2.5;1.48;197;
2010;03/10/2010;0;Panserraikos;953;Larisa;1;0;H;2.75;3;2.5;2.52;1.47;197;
2010;03/10/2010;619;PAOK;0;Aris;0;1;A;1.8;3.2;4.33;2.53;1.46;197;
2010;16/10/2010;617;Panathinaikos;619;PAOK;1;0;H;1.67;3.3;5.25;2.17;1.62;197;
2010;16/10/2010;622;Panionios;2105;Ergotelis;0;1;A;1.83;3.2;4.2;2.43;1.5;197;
2010;16/10/2010;0;Xanthi;0;Olympiakos;0;3;A;5.5;3.4;1.62;2.26;1.58;197;
2010;17/10/2010;0;Aris;0;AEK;0;4;A;2.4;3;2.88;2.29;1.56;197;
2010;17/10/2010;12260;Atromitos;0;Olympiakos Volou;2;2;D;2;3.1;3.75;2.41;1.51;197;
2010;17/10/2010;2109;Iraklis;0;Panserraikos;1;1;D;1.91;3.1;4;2.44;1.5;197;
2010;17/10/2010;0;Kerkyra;0;Kavala;1;1;D;2.4;3;2.88;2.46;1.49;197;
2010;17/10/2010;953;Larisa;955;Asteras Tripolis;0;2;A;1.8;3.2;4.5;2.53;1.47;197;
2010;23/10/2010;955;Asteras Tripolis;2109;Iraklis;0;0;D;2;3.2;3.5;2.37;1.52;197;
2010;23/10/2010;12260;Atromitos;0;Xanthi;1;1;D;2;3.1;3.75;2.44;1.49;197;
2010;23/10/2010;0;Olympiakos Volou;953;Larisa;1;1;D;2.4;3;2.88;2.39;1.5;197;
2010;24/10/2010;0;AEK;617;Panathinaikos;1;0;H;2.7;3.1;2.5;2.2;1.6;197;
2010;24/10/2010;0;Kavala;2105;Ergotelis;3;1;H;2;3.1;3.75;2.45;1.49;197;
2010;24/10/2010;0;Olympiakos;0;Aris;1;0;H;1.4;3.8;8.5;1.95;1.8;197;
2010;24/10/2010;0;Panserraikos;0;Kerkyra;0;2;A;2;3.1;3.75;2.42;1.5;197;
2010;24/10/2010;619;PAOK;622;Panionios;3;1;H;1.57;3.6;5.5;2.33;1.54;197;
2010;30/10/2010;0;Aris;12260;Atromitos;2;0;H;1.6;3.6;6;2.27;1.57;197;
2010;30/10/2010;953;Larisa;0;Xanthi;3;0;H;1.83;3.3;4.6;2.47;1.48;197;
