Season;Date;HomeTeamid;HomeTeamName;AwayTeamId;AwayTeamName;HomeGoals;AwayGoals;FullTimeResult;AverageHomeWinOdd;AverageDrawWinOdd;AverageAwayWinOdd;AvgOver2_5;AvgUnder2_5;Div
2010;06/08/2010;414;Roda;415;Twente;0;0;D;4.75;3.6;1.73;1.75;2.01;88;
2010;07/08/2010;199;Graafschap;196;Excelsior;3;0;H;1.7;3.6;5;1.61;2.2;88;
2010;07/08/2010;210;Heerenveen;197;PSV Eindhoven;1;3;A;4.75;3.5;1.75;1.6;2.2;88;
2010;07/08/2010;206;Heracles;195;Willem II;3;0;H;1.57;3.8;6;1.63;2.16;88;
2010;07/08/2010;413;Nijmegen;204;VVV Venlo;1;0;H;1.91;3.5;3.9;1.73;2.02;88;
2010;08/08/2010;209;Feyenoord;207;Utrecht;3;1;H;1.75;3.6;4.75;1.83;1.93;88;
2010;08/08/2010;202;Groningen;194;Ajax;2;2;D;5.75;3.7;1.62;1.49;2.46;88;
2010;08/08/2010;203;NAC Breda;201;AZ Alkmaar;1;1;D;3.9;3.5;1.91;1.76;2;88;
2010;08/08/2010;200;Vitesse;198;Den Haag;3;1;H;1.91;3.5;3.9;1.65;2.11;88;
2010;14/08/2010;194;Ajax;200;Vitesse;4;2;H;1.15;7;17;1.83;1.94;88;
2010;14/08/2010;201;AZ Alkmaar;202;Groningen;1;1;D;1.6;3.8;5.5;1.69;2.09;88;
2010;14/08/2010;197;PSV Eindhoven;199;Graafschap;6;0;H;1.17;7;15;1.4;2.74;88;
2010;14/08/2010;415;Twente;210;Heerenveen;0;0;D;1.53;4;6;1.63;2.14;88;
2010;14/08/2010;204;VVV Venlo;206;Heracles;1;0;H;3.1;3.4;2.25;1.79;1.97;88;
2010;15/08/2010;198;Den Haag;414;Roda;1;3;A;2.25;3.3;3.2;1.79;1.97;88;
2010;15/08/2010;196;Excelsior;209;Feyenoord;3;2;H;8;4.5;1.4;1.6;2.19;88;
2010;15/08/2010;207;Utrecht;203;NAC Breda;3;1;H;1.67;3.5;5.5;1.89;1.86;88;
2010;15/08/2010;195;Willem II;413;Nijmegen;3;5;A;2.8;3.25;2.5;1.87;1.87;88;
2010;20/08/2010;196;Excelsior;413;Nijmegen;4;2;H;3.1;3.4;2.25;1.68;2.08;88;
2010;21/08/2010;194;Ajax;414;Roda;3;0;H;1.2;6.5;13;1.78;1.99;88;
2010;21/08/2010;202;Groningen;199;Graafschap;2;1;H;1.44;4.33;7;1.5;2.45;88;
2010;21/08/2010;210;Heerenveen;203;NAC Breda;3;1;H;1.57;4;5.5;1.58;2.25;88;
2010;21/08/2010;200;Vitesse;415;Twente;0;3;A;5.5;3.75;1.62;1.79;1.96;88;
2010;22/08/2010;206;Heracles;209;Feyenoord;1;1;D;2.75;3.3;2.5;1.76;1.99;88;
2010;22/08/2010;197;PSV Eindhoven;201;AZ Alkmaar;3;1;H;1.44;4.33;7;1.58;2.24;88;
2010;22/08/2010;207;Utrecht;195;Willem II;3;0;H;1.36;4.6;8.5;1.5;2.44;88;
2010;22/08/2010;204;VVV Venlo;198;Den Haag;2;3;A;2;3.4;3.7;1.7;2.06;88;
2010;27/08/2010;195;Willem II;202;Groningen;0;3;A;4.2;3.75;1.8;1.59;2.22;88;
2010;28/08/2010;203;NAC Breda;204;VVV Venlo;2;0;H;1.8;3.5;4.5;1.81;1.95;88;
2010;28/08/2010;413;Nijmegen;210;Heerenveen;2;2;D;2.75;3.3;2.5;1.55;2.31;88;
2010;28/08/2010;414;Roda;206;Heracles;4;2;H;1.91;3.6;3.75;1.63;2.15;88;
2010;29/08/2010;201;AZ Alkmaar;196;Excelsior;1;1;D;1.29;5.25;10;1.46;2.53;88;
2010;29/08/2010;198;Den Haag;197;PSV Eindhoven;2;2;D;9;5;1.33;1.51;2.4;88;
2010;29/08/2010;209;Feyenoord;200;Vitesse;4;0;H;1.4;4.5;8;1.55;2.29;88;
2010;29/08/2010;199;Graafschap;194;Ajax;0;5;A;10;5.25;1.29;1.36;2.88;88;
2010;29/08/2010;415;Twente;207;Utrecht;4;0;H;1.5;4;7;1.86;1.9;88;
2010;11/09/2010;194;Ajax;195;Willem II;2;0;H;1.08;11;19;1.2;4.12;88;
2010;11/09/2010;201;AZ Alkmaar;414;Roda;1;2;A;1.62;3.75;5.5;1.62;2.17;88;
2010;11/09/2010;196;Excelsior;206;Heracles;2;1;H;2.88;3.3;2.4;1.63;2.16;88;
2010;11/09/2010;210;Heerenveen;200;Vitesse;2;1;H;1.44;4.5;6.5;1.93;1.85;88;
2010;11/09/2010;197;PSV Eindhoven;413;Nijmegen;3;1;H;1.2;6.5;13;1.39;2.8;88;
2010;11/09/2010;204;VVV Venlo;415;Twente;1;2;A;9;4.5;1.36;1.73;2.05;88;
2010;12/09/2010;198;Den Haag;199;Graafschap;2;2;D;1.73;3.75;4.5;1.49;2.49;88;
2010;12/09/2010;202;Groningen;207;Utrecht;1;0;H;2.1;3.3;3.5;1.84;1.92;88;
2010;12/09/2010;203;NAC Breda;209;Feyenoord;2;0;H;3;3.25;2.38;1.79;1.97;88;
2010;17/09/2010;199;Graafschap;210;Heerenveen;3;2;H;3.5;3.6;2;1.49;2.47;88;
2010;18/09/2010;202;Groningen;196;Excelsior;2;0;H;1.36;4.75;8.5;1.47;2.53;88;
2010;18/09/2010;200;Vitesse;203;NAC Breda;0;0;D;2.25;3.4;3.1;1.63;2.16;88;
2010;18/09/2010;195;Willem II;198;Den Haag;2;4;A;3;3.4;2.3;1.59;2.22;88;
2010;19/09/2010;209;Feyenoord;194;Ajax;1;2;A;4.6;3.6;1.75;1.49;2.47;88;
2010;19/09/2010;206;Heracles;415;Twente;0;0;D;5.75;4;1.57;1.77;1.99;88;
2010;19/09/2010;413;Nijmegen;201;AZ Alkmaar;0;1;A;3.2;3.4;2.2;1.69;2.08;88;
2010;19/09/2010;414;Roda;197;PSV Eindhoven;0;0;D;5.75;3.6;1.62;1.53;2.35;88;
2010;19/09/2010;207;Utrecht;204;VVV Venlo;3;2;H;1.4;4.5;7.5;1.68;2.11;88;
2010;25/09/2010;201;AZ Alkmaar;207;Utrecht;1;0;H;1.83;3.5;4.33;1.69;2.09;88;
2010;25/09/2010;198;Den Haag;206;Heracles;3;2;H;2;3.5;3.6;1.59;2.24;88;
2010;25/09/2010;210;Heerenveen;414;Roda;2;2;D;1.75;3.75;4.33;1.48;2.51;88;
2010;25/09/2010;197;PSV Eindhoven;202;Groningen;1;1;D;1.36;4.2;8;1.48;2.5;88;
