Season;Date;HomeTeamid;HomeTeamName;AwayTeamId;AwayTeamName;HomeGoals;AwayGoals;FullTimeResult;AverageHomeWinOdd;AverageDrawWinOdd;AverageAwayWinOdd;AvgOver2_5;AvgUnder2_5;Div
2010;28/08/2010;4666;Hercules;531;Ath Bilbao;0;1;A;2.5;3.25;2.8;2.12;1.67;140;
2010;28/08/2010;539;Levante;536;Sevilla;1;4;A;3.6;3.5;2;1.95;1.82;140;
2010;28/08/2010;535;Malaga;532;Valencia;1;3;A;2.88;3.3;2.4;2.04;1.74;140;
2010;29/08/2010;540;Espanol;546;Getafe;3;1;H;2.1;3.3;3.5;2.25;1.6;140;
2010;29/08/2010;544;La Coruna;732;Zaragoza;0;0;D;2.1;3.3;3.5;2.21;1.62;140;
2010;29/08/2010;798;Mallorca;541;Real Madrid;0;0;D;8;4.75;1.36;1.57;2.29;140;
2010;29/08/2010;727;Osasuna;723;Almeria;0;0;D;2;3.4;3.75;2.23;1.61;140;
2010;29/08/2010;4665;Santander;529;Barcelona;0;3;A;15;6;1.2;1.45;2.61;140;
2010;29/08/2010;548;Sociedad;533;Villarreal;1;0;H;3;3.25;2.38;2.07;1.71;140;
2010;30/08/2010;530;Ath Madrid;731;Sp Gijon;4;0;H;1.53;4;6;1.74;2.03;140;
2010;11/09/2010;531;Ath Bilbao;530;Ath Madrid;1;2;A;3;3.25;2.38;1.86;1.9;140;
2010;11/09/2010;529;Barcelona;4666;Hercules;0;2;A;1.06;11;34;1.26;3.64;140;
2010;11/09/2010;541;Real Madrid;727;Osasuna;1;0;H;1.17;6.5;17;1.46;2.58;140;
2010;11/09/2010;532;Valencia;4665;Santander;1;0;H;1.44;4.33;7;1.81;1.96;140;
2010;12/09/2010;546;Getafe;539;Levante;4;1;H;1.57;3.8;6;1.88;1.88;140;
2010;12/09/2010;536;Sevilla;544;La Coruna;0;0;D;1.5;4;7;1.92;1.85;140;
2010;12/09/2010;731;Sp Gijon;798;Mallorca;2;0;H;2.4;3.3;2.9;2.08;1.71;140;
2010;12/09/2010;533;Villarreal;540;Espanol;4;0;H;1.8;3.5;4.5;2.02;1.76;140;
2010;12/09/2010;732;Zaragoza;535;Malaga;3;5;A;1.91;3.4;4;2.07;1.71;140;
2010;13/09/2010;723;Almeria;548;Sociedad;2;2;D;2.2;3.25;3.3;2.27;1.6;140;
2010;18/09/2010;540;Espanol;723;Almeria;1;0;H;2;3.3;3.75;2.13;1.67;140;
2010;18/09/2010;798;Mallorca;727;Osasuna;2;0;H;1.91;3.4;4;2.13;1.68;140;
2010;18/09/2010;548;Sociedad;541;Real Madrid;1;2;A;8.5;4.6;1.36;1.67;2.14;140;
2010;18/09/2010;731;Sp Gijon;531;Ath Bilbao;2;2;D;2.4;3.25;2.9;2.09;1.7;140;
2010;19/09/2010;530;Ath Madrid;529;Barcelona;1;2;A;5;3.75;1.67;1.5;2.5;140;
2010;19/09/2010;4666;Hercules;532;Valencia;1;2;A;3.5;3.2;2.15;1.93;1.84;140;
2010;19/09/2010;539;Levante;533;Villarreal;1;2;A;3.75;3.3;2;1.86;1.9;140;
2010;19/09/2010;535;Malaga;536;Sevilla;1;2;A;3.25;3.25;2.2;1.84;1.92;140;
2010;19/09/2010;4665;Santander;732;Zaragoza;2;0;H;2.25;3.2;3.25;2.01;1.77;140;
