Season;Date;HomeTeamid;HomeTeamName;AwayTeamId;AwayTeamName;HomeGoals;AwayGoals;FullTimeResult;AverageHomeWinOdd;AverageDrawWinOdd;AverageAwayWinOdd;AvgOver2_5;AvgUnder2_5;Div
2010;14/08/2010;0;Bucaspor;549;Besiktas;0;1;A;6;3.8;1.57;1.87;1.87;203;
2010;14/08/2010;0;Eskisehirspor;997;Genclerbirligi;0;0;D;2;3.4;3.75;2.03;1.73;203;
2010;14/08/2010;1008;Gaziantepspor;1004;Kasimpasa;0;0;D;1.91;3.4;4;2.09;1.66;203;
2010;14/08/2010;1002;Sivasspor;645;Galatasaray;2;1;H;5.25;3.6;1.67;1.92;1.82;203;
2010;15/08/2010;1010;Ankaragucu;998;Trabzonspor;0;2;A;3.75;3.4;2;2.03;1.73;203;
2010;15/08/2010;611;Fenerbahce;1005;Antalyaspor;4;0;H;1.44;4.33;7;1.71;2.02;203;
2010;15/08/2010;0;Karabukspor;3598;Manisaspor;2;1;H;2.3;3.2;3.2;2.12;1.64;203;
2010;16/08/2010;1003;Bursaspor;607;Konyaspor;1;0;H;1.33;5;9;1.72;2.01;203;
2010;16/08/2010;0;Buyuksehyr;1001;Kayserispor;0;2;A;2.1;3.3;3.5;2;1.76;203;
2010;20/08/2010;1001;Kayserispor;0;Karabukspor;1;0;H;1.83;3.4;4.5;2;1.76;203;
2010;20/08/2010;607;Konyaspor;0;Eskisehirspor;2;1;H;2.55;3.25;2.75;2.23;1.59;203;
2010;21/08/2010;1005;Antalyaspor;1002;Sivasspor;1;1;D;2.2;3.3;3.25;2.12;1.65;203;
2010;21/08/2010;549;Besiktas;0;Buyuksehyr;0;2;A;1.4;4.33;8;2;1.76;203;
2010;22/08/2010;645;Galatasaray;1003;Bursaspor;0;2;A;1.83;3.5;4.33;1.94;1.81;203;
2010;22/08/2010;997;Genclerbirligi;1008;Gaziantepspor;0;0;D;1.95;3.3;4;2.22;1.59;203;
2010;22/08/2010;3598;Manisaspor;1010;Ankaragucu;0;3;A;2.5;3.25;2.8;2.18;1.61;203;
2010;23/08/2010;1004;Kasimpasa;0;Bucaspor;0;0;D;1.91;3.3;4.2;2.06;1.68;203;
2010;23/08/2010;998;Trabzonspor;611;Fenerbahce;3;2;H;2.8;3.25;2.5;2.07;1.68;203;
2010;27/08/2010;1010;Ankaragucu;1001;Kayserispor;1;1;D;2.8;3.1;2.6;2.22;1.59;203;
2010;27/08/2010;1008;Gaziantepspor;607;Konyaspor;2;2;D;1.95;3.2;4.2;2.29;1.55;203;
2010;28/08/2010;0;Bucaspor;997;Genclerbirligi;3;1;H;2.5;3.1;2.9;2.22;1.58;203;
2010;28/08/2010;0;Buyuksehyr;1004;Kasimpasa;3;1;H;2.25;3.25;3.2;2.12;1.65;203;
2010;28/08/2010;1002;Sivasspor;1003;Bursaspor;0;2;A;2.88;3.2;2.5;2.2;1.59;203;
2010;29/08/2010;0;Eskisehirspor;645;Galatasaray;1;3;A;3.4;3.3;2.15;1.97;1.78;203;
2010;29/08/2010;611;Fenerbahce;3598;Manisaspor;4;2;H;1.29;5.25;10;1.65;2.11;203;
2010;29/08/2010;0;Karabukspor;549;Besiktas;1;4;A;4.75;3.5;1.75;2.01;1.75;203;
2010;30/08/2010;1005;Antalyaspor;998;Trabzonspor;0;0;D;4.5;3.4;1.83;2;1.75;203;
2010;10/09/2010;1003;Bursaspor;0;Eskisehirspor;2;1;H;1.5;4;7;1.85;1.91;203;
2010;11/09/2010;549;Besiktas;1010;Ankaragucu;4;0;H;1.44;4.2;7.5;1.99;1.77;203;
2010;11/09/2010;1001;Kayserispor;611;Fenerbahce;2;0;H;3.4;3.25;2.15;1.99;1.77;203;
2010;11/09/2010;607;Konyaspor;0;Bucaspor;1;1;D;2.38;3.1;3.1;2.16;1.62;203;
2010;11/09/2010;3598;Manisaspor;1005;Antalyaspor;1;2;A;2.4;3.1;3.1;2.16;1.62;203;
2010;13/09/2010;645;Galatasaray;1008;Gaziantepspor;1;0;H;1.44;4.2;7.5;1.72;2.01;203;
2010;13/09/2010;997;Genclerbirligi;0;Buyuksehyr;2;1;H;2.38;3.1;3.1;2.17;1.62;203;
2010;13/09/2010;1004;Kasimpasa;0;Karabukspor;1;2;A;2.1;3.3;3.5;1.93;1.81;203;
2010;13/09/2010;998;Trabzonspor;1002;Sivasspor;6;1;H;1.44;4.2;7.5;1.87;1.88;203;
2010;17/09/2010;998;Trabzonspor;3598;Manisaspor;1;3;A;1.36;4.5;8.5;1.66;2.12;203;
2010;18/09/2010;1010;Ankaragucu;1004;Kasimpasa;3;0;H;1.83;3.4;4;1.99;1.73;203;
2010;18/09/2010;1005;Antalyaspor;1001;Kayserispor;2;1;H;2.7;3.25;2.4;2.18;1.61;203;
2010;18/09/2010;0;Bucaspor;645;Galatasaray;0;1;A;4;3.4;1.8;1.95;1.8;203;
2010;18/09/2010;1002;Sivasspor;0;Eskisehirspor;1;1;D;2.1;3.25;3.2;1.98;1.73;203;
2010;19/09/2010;0;Buyuksehyr;607;Konyaspor;1;0;H;2;3.3;3.4;2.07;1.69;203;
2010;19/09/2010;611;Fenerbahce;549;Besiktas;1;1;D;2.1;3.25;3.2;1.99;1.73;203;
2010;19/09/2010;0;Karabukspor;997;Genclerbirligi;3;0;H;2.25;3.2;3;2.05;1.69;203;
2010;20/09/2010;1008;Gaziantepspor;1003;Bursaspor;0;3;A;3;3.25;2.2;2.12;1.65;203;
2010;24/09/2010;1003;Bursaspor;0;Bucaspor;1;0;H;1.44;4.33;7;1.94;1.81;203;
2010;25/09/2010;549;Besiktas;1005;Antalyaspor;2;1;H;1.4;4.33;8.5;1.78;1.97;203;
2010;25/09/2010;0;Eskisehirspor;1008;Gaziantepspor;0;1;A;2.1;3.2;3.6;2.14;1.63;203;
2010;25/09/2010;997;Genclerbirligi;1010;Ankaragucu;1;0;H;2.88;3.2;2.5;2.15;1.63;203;
2010;26/09/2010;645;Galatasaray;0;Buyuksehyr;3;1;H;1.44;4.2;7.5;1.84;1.91;203;
2010;26/09/2010;1001;Kayserispor;998;Trabzonspor;0;0;D;2.7;3.2;2.63;1.99;1.76;203;
2010;26/09/2010;607;Konyaspor;0;Karabukspor;2;2;D;2.7;3.2;2.63;2.05;1.72;203;
2010;26/09/2010;3598;Manisaspor;1002;Sivasspor;3;0;H;2.3;3.2;3.2;1.97;1.77;203;
2010;27/09/2010;1004;Kasimpasa;611;Fenerbahce;2;6;A;6.5;3.8;1.53;1.93;1.82;203;
2010;01/10/2010;0;Bucaspor;0;Eskisehirspor;0;0;D;2.25;3.25;3.2;2.12;1.66;203;
2010;01/10/2010;0;Karabukspor;645;Galatasaray;2;1;H;4;3.4;1.91;1.83;1.94;203;
