Date;HomeTeamid;HomeTeamName;AwayTeamId;AwayTeamName;HomeGoals;AwayGoals;
14/08/2010;598;West Ham;0;3;0;H;
14/08/2010;8560;Everton;0;1;0;H;
14/08/2010;535;Fulham;0;0;0;D;
14/08/2010;597;West Brom;0;6;0;H;
14/08/2010;12596;Birmingham;0;2;2;D;
14/08/2010;555;Man City;0;0;0;D;
14/08/2010;501;Blackpool;0;0;4;A;
14/08/2010;0;Stoke;0;2;1;H;
15/08/2010;494;Arsenal;0;1;1;D;
16/08/2010;562;Newcastle;0;3;0;H;
21/08/2010;501;Blackpool;0;6;0;H;
21/08/2010;500;Blackburn;0;2;1;H;
21/08/2010;600;Wolves;0;1;1;D;
21/08/2010;593;Tottenham;0;1;2;A;
21/08/2010;589;Sunderland;0;1;0;H;
21/08/2010;502;Bolton;0;1;3;A;
21/08/2010;519;Chelsea;0;0;6;A;
22/08/2010;556;Man United;0;2;2;D;
22/08/2010;495;Aston Villa;0;6;0;H;
23/08/2010;550;Liverpool;0;3;0;H;
28/08/2010;494;Arsenal;0;1;2;A;
28/08/2010;535;Fulham;0;2;2;D;
28/08/2010;0;Stoke;0;2;0;H;
28/08/2010;598;West Ham;0;3;0;H;
28/08/2010;599;Wigan;0;0;1;A;
28/08/2010;562;Newcastle;0;1;1;D;
29/08/2010;8560;Everton;0;1;0;H;
29/08/2010;12596;Birmingham;0;2;2;D;
29/08/2010;597;West Brom;0;1;0;H;
29/08/2010;555;Man City;0;1;0;H;
11/09/2010;502;Bolton;0;4;1;H;
11/09/2010;556;Man United;0;3;3;D;
11/09/2010;600;Wolves;0;2;1;H;
11/09/2010;500;Blackburn;0;1;1;D;
11/09/2010;501;Blackpool;0;0;2;A;
11/09/2010;593;Tottenham;0;1;1;D;
11/09/2010;519;Chelsea;0;1;3;A;
11/09/2010;589;Sunderland;0;1;1;D;
12/09/2010;550;Liverpool;0;0;0;D;
13/09/2010;495;Aston Villa;0;2;1;H;
18/09/2010;502;Bolton;0;1;1;D;
18/09/2010;535;Fulham;0;1;1;D;
18/09/2010;562;Newcastle;0;0;1;A;
18/09/2010;598;West Ham;0;1;1;D;
18/09/2010;494;Arsenal;0;1;1;D;
18/09/2010;600;Wolves;0;3;1;H;
18/09/2010;12596;Birmingham;0;3;1;H;
19/09/2010;501;Blackpool;0;4;0;H;
19/09/2010;550;Liverpool;0;3;2;H;
19/09/2010;555;Man City;0;0;2;A;
25/09/2010;597;West Brom;0;2;3;A;
25/09/2010;599;Wigan;0;0;0;D;
25/09/2010;500;Blackburn;0;1;2;A;
25/09/2010;8560;Everton;0;0;0;D;
25/09/2010;589;Sunderland;0;2;2;D;
25/09/2010;519;Chelsea;0;1;0;H;
25/09/2010;593;Tottenham;0;1;0;H;
26/09/2010;556;Man United;0;2;2;D;
26/09/2010;0;Stoke;0;1;2;A;
26/09/2010;495;Aston Villa;0;1;2;A;
02/10/2010;8560;Everton;0;0;2;A;
02/10/2010;500;Blackburn;0;1;0;H;
02/10/2010;556;Man United;0;0;0;D;
02/10/2010;495;Aston Villa;0;2;1;H;
02/10/2010;502;Bolton;0;1;1;D;
02/10/2010;535;Fulham;0;1;1;D;
02/10/2010;600;Wolves;0;2;0;H;
03/10/2010;494;Arsenal;0;2;0;H;
03/10/2010;501;Blackpool;0;1;2;A;
03/10/2010;562;Newcastle;0;2;1;H;
16/10/2010;12596;Birmingham;0;2;1;H;
16/10/2010;519;Chelsea;0;0;0;D;
16/10/2010;0;Stoke;0;2;1;H;
16/10/2010;593;Tottenham;0;1;2;A;
16/10/2010;597;West Brom;0;2;2;D;
16/10/2010;599;Wigan;0;2;2;D;
16/10/2010;598;West Ham;0;1;1;D;
17/10/2010;555;Man City;0;2;3;A;
17/10/2010;550;Liverpool;0;2;0;H;
18/10/2010;589;Sunderland;0;0;0;D;
23/10/2010;501;Blackpool;0;2;0;H;
23/10/2010;600;Wolves;0;2;0;H;
23/10/2010;495;Aston Villa;0;1;0;H;
23/10/2010;8560;Everton;0;1;1;D;
23/10/2010;535;Fulham;0;2;1;H;
23/10/2010;562;Newcastle;0;1;2;A;
23/10/2010;502;Bolton;0;1;1;D;
24/10/2010;500;Blackburn;0;2;1;H;
24/10/2010;494;Arsenal;0;0;3;A;
24/10/2010;556;Man United;0;1;2;A;
30/10/2010;598;West Ham;0;1;0;H;
30/10/2010;519;Chelsea;0;1;2;A;
30/10/2010;0;Stoke;0;1;0;H;
30/10/2010;599;Wigan;0;2;0;H;
30/10/2010;593;Tottenham;0;2;0;H;
30/10/2010;555;Man City;0;2;1;H;
31/10/2010;12596;Birmingham;0;0;0;D;
31/10/2010;550;Liverpool;0;0;1;A;
31/10/2010;589;Sunderland;0;5;1;H;
01/11/2010;597;West Brom;0;2;1;H;
06/11/2010;598;West Ham;0;2;2;D;
06/11/2010;599;Wigan;0;2;1;H;
06/11/2010;8560;Everton;0;2;2;D;
06/11/2010;593;Tottenham;0;4;2;H;
06/11/2010;495;Aston Villa;0;1;1;D;
06/11/2010;600;Wolves;0;2;1;H;
06/11/2010;0;Stoke;0;2;0;H;
07/11/2010;562;Newcastle;0;0;1;A;
07/11/2010;519;Chelsea;0;2;0;H;
07/11/2010;555;Man City;0;0;2;A;
09/11/2010;12596;Birmingham;0;3;2;H;
09/11/2010;589;Sunderland;0;1;1;D;
10/11/2010;501;Blackpool;0;3;2;H;
10/11/2010;535;Fulham;0;1;0;H;
10/11/2010;502;Bolton;0;1;1;D;
10/11/2010;556;Man United;0;0;0;D;
10/11/2010;500;Blackburn;0;1;2;A;
10/11/2010;597;West Brom;0;2;2;D;
10/11/2010;550;Liverpool;0;1;1;D;
10/11/2010;494;Arsenal;0;0;2;A;
13/11/2010;556;Man United;0;2;2;D;
13/11/2010;12596;Birmingham;0;0;0;D;
13/11/2010;535;Fulham;0;0;0;D;
13/11/2010;550;Liverpool;0;2;0;H;
13/11/2010;500;Blackburn;0;4;2;H;
13/11/2010;501;Blackpool;0;0;0;D;
