Season;Date;HomeTeamid;HomeTeamName;AwayTeamId;AwayTeamName;HomeGoals;AwayGoals;FullTimeResult;AverageHomeWinOdd;AverageDrawWinOdd;AverageAwayWinOdd;AvgOver2_5;AvgUnder2_5;Div
2010;29/07/2011;87;Amiens;0;Troyes;1;1;D;2.3;3;3.4;2.44;1.49;62;
2010;29/07/2011;77;Angers;111;Le Havre;1;2;A;2.1;3;4;2.42;1.5;62;
2010;29/07/2011;4652;Arles;1298;Le Mans;1;0;H;2.75;3;2.7;2.38;1.52;62;
2010;29/07/2011;1305;Bastia;3267;Istres;3;1;H;1.83;3.3;4.5;2.23;1.59;62;
2010;29/07/2011;90;Guingamp;107;Chateauroux;1;1;D;1.85;3.3;4.5;2.24;1.59;62;
2010;29/07/2011;433;Laval;0;Clermont;1;2;A;2.38;2.88;3.4;2.41;1.5;62;
2010;29/07/2011;1310;Sedan;83;Nantes;2;0;H;1.67;3.4;6;2.21;1.6;62;
2010;29/07/2011;432;Tours;112;Metz;1;0;H;2.5;2.88;3.2;2.29;1.57;62;
2010;30/07/2011;116;Lens;93;Reims;0;2;A;1.8;3.4;4.75;2.1;1.66;62;
2010;01/08/2011;91;Monaco;1299;Boulogne;0;0;D;1.67;3.5;5.5;2.18;1.61;62;
2010;05/08/2011;1299;Boulogne;77;Angers;3;3;D;2.25;3;3.5;2.35;1.2;62;
2010;05/08/2011;107;Chateauroux;1310;Sedan;0;1;A;3.4;3.1;2.25;2.39;1.51;62;
2010;05/08/2011;0;Clermont;90;Guingamp;0;1;A;2.2;3.1;3.5;2.19;1.63;62;
2010;05/08/2011;3267;Istres;116;Lens;2;1;H;2.88;3;2.6;2.24;1.57;62;
2010;05/08/2011;111;Le Havre;433;Laval;1;1;D;1.91;3.2;4.33;2.25;1.59;62;
2010;05/08/2011;1298;Le Mans;432;Tours;0;1;A;1.91;3.25;4.33;2.15;1.64;62;
2010;05/08/2011;83;Nantes;1305;Bastia;0;2;A;2.63;3;2.88;2.21;1.61;62;
2010;05/08/2011;93;Reims;87;Amiens;1;0;H;2;3.2;4;2.23;1.6;62;
2010;06/08/2011;0;Troyes;91;Monaco;1;1;D;2.7;3;2.8;2.27;1.56;62;
2010;08/08/2011;112;Metz;4652;Arles;0;0;D;1.91;3.25;4.33;2.35;1.53;62;
2010;12/08/2011;87;Amiens;111;Le Havre;0;1;A;2.1;3.1;3.75;2.36;1.53;62;
2010;12/08/2011;77;Angers;3267;Istres;3;1;H;1.73;3.25;5.5;2.29;1.57;62;
2010;12/08/2011;4652;Arles;83;Nantes;0;0;D;2;3;4.33;2.46;1.48;62;
2010;12/08/2011;1305;Bastia;1298;Le Mans;1;0;H;1.73;3.3;5.5;2.31;1.56;62;
2010;12/08/2011;90;Guingamp;112;Metz;0;1;A;1.75;3.3;5;2.34;1.55;62;
2010;12/08/2011;433;Laval;1299;Boulogne;2;2;D;2;3.1;4;2.27;1.57;62;
2010;12/08/2011;1310;Sedan;0;Clermont;1;2;A;1.67;3.3;6;2.16;1.62;62;
2010;12/08/2011;432;Tours;107;Chateauroux;1;2;A;1.83;3.25;4.75;2.23;1.59;62;
2010;13/08/2011;116;Lens;0;Troyes;2;1;H;1.8;3.2;5;2.48;1.48;62;
2010;15/08/2011;91;Monaco;93;Reims;1;2;A;1.85;3.2;4.75;2.34;1.53;62;
2010;19/08/2011;1299;Boulogne;432;Tours;0;0;D;2.25;3.2;3.25;2.11;1.68;62;
2010;19/08/2011;0;Clermont;116;Lens;2;0;H;2.3;3.1;3.3;2.14;1.65;62;
2010;19/08/2011;3267;Istres;433;Laval;1;2;A;2.25;3.1;3.4;2.16;1.63;62;
2010;19/08/2011;111;Le Havre;1305;Bastia;2;0;H;2.7;3.1;2.7;2.2;1.61;62;
2010;19/08/2011;112;Metz;107;Chateauroux;2;1;H;1.8;3.2;5;2.27;1.58;62;
2010;19/08/2011;91;Monaco;87;Amiens;1;1;D;1.85;3.3;4.5;2.26;1.58;62;
2010;19/08/2011;93;Reims;4652;Arles;3;2;H;1.91;3.25;4.33;2.27;1.58;62;
2010;19/08/2011;0;Troyes;77;Angers;2;1;H;2.4;3.1;3.1;2.17;1.63;62;
2010;20/08/2011;1298;Le Mans;1310;Sedan;3;1;H;2.75;3;2.75;2.16;1.62;62;
2010;22/08/2011;83;Nantes;90;Guingamp;4;0;H;2.6;3;2.88;2.35;1.53;62;
2010;26/08/2011;87;Amiens;1299;Boulogne;0;0;D;1.91;3.2;4.33;2.38;1.52;62;
2010;26/08/2011;77;Angers;93;Reims;0;0;D;2.25;3.1;3.4;2.17;1.63;62;
2010;26/08/2011;4652;Arles;111;Le Havre;1;0;H;2.5;3;3;2.34;1.54;62;
2010;26/08/2011;1305;Bastia;0;Clermont;1;1;D;1.8;3.25;5;2.13;1.67;62;
2010;26/08/2011;107;Chateauroux;1298;Le Mans;1;0;H;2.5;3;3;2.28;1.57;62;
2010;26/08/2011;90;Guingamp;3267;Istres;1;0;H;1.73;3.3;5.5;2.13;1.67;62;
2010;26/08/2011;433;Laval;0;Troyes;0;0;D;2;3.2;4;2.22;1.6;62;
2010;26/08/2011;1310;Sedan;112;Metz;1;1;D;1.83;3.25;4.75;2.18;1.63;62;
2010;27/08/2011;432;Tours;83;Nantes;2;1;H;1.83;3.25;4.75;2.26;1.57;62;
2010;29/08/2011;116;Lens;91;Monaco;2;2;D;2.2;3.1;3.5;2.21;1.6;62;
2010;09/09/2011;1299;Boulogne;4652;Arles;1;1;D;1.91;3.1;4.5;2.46;1.49;62;
2010;09/09/2011;3267;Istres;1310;Sedan;1;1;D;2.88;3;2.63;2.14;1.65;62;
2010;09/09/2011;111;Le Havre;432;Tours;2;1;H;2;3.2;4;2.18;1.63;62;
2010;09/09/2011;112;Metz;433;Laval;2;2;D;1.75;3.4;5;2.16;1.64;62;
2010;09/09/2011;91;Monaco;77;Angers;1;3;A;2.05;3.2;3.8;2.18;1.63;62;
2010;09/09/2011;83;Nantes;1298;Le Mans;1;1;D;2.5;3;3;2.45;1.49;62;
2010;09/09/2011;93;Reims;90;Guingamp;2;1;H;2.1;3.1;3.8;2.15;1.63;62;
2010;09/09/2011;0;Troyes;1305;Bastia;1;0;H;2.5;3;3;2.3;1.55;62;
2010;10/09/2011;0;Clermont;107;Chateauroux;2;1;H;1.8;3.25;5;2.11;1.67;62;
2010;12/09/2011;87;Amiens;116;Lens;1;2;A;2.5;3.1;2.9;2.32;1.54;62;
2010;16/09/2011;77;Angers;87;Amiens;0;0;D;1.73;3.3;5.5;2.2;1.61;62;
2010;16/09/2011;4652;Arles;0;Clermont;0;2;A;2.75;3;2.75;2.32;1.55;62;
2010;16/09/2011;1305;Bastia;91;Monaco;1;1;D;1.8;3.5;4.5;2.22;1.61;62;
2010;16/09/2011;107;Chateauroux;83;Nantes;2;2;D;2.3;3;3.4;2.29;1.56;62;
2010;16/09/2011;90;Guingamp;0;Troyes;0;0;D;1.91;3.25;4.33;2.26;1.58;62;
2010;16/09/2011;433;Laval;93;Reims;3;2;H;2.38;3.1;3.1;2.25;1.59;62;
2010;16/09/2011;116;Lens;1299;Boulogne;2;0;H;1.8;3.25;5;2.18;1.62;62;
2010;16/09/2011;1310;Sedan;111;Le Havre;3;0;H;1.85;3.2;4.75;2.16;1.65;62;
2010;16/09/2011;432;Tours;3267;Istres;1;2;A;1.8;3.25;5;2.11;1.68;62;
2010;17/09/2011;1298;Le Mans;112;Metz;0;1;A;2.25;3.1;3.4;2.36;1.53;62;
2010;19/09/2011;91;Monaco;4652;Arles;1;0;H;1.73;3.5;5;2.21;1.62;62;
2010;20/09/2011;87;Amiens;433;Laval;1;0;H;2.4;3;3.2;2.28;1.58;62;
2010;20/09/2011;1299;Boulogne;90;Guingamp;2;0;H;2.5;3;3;2.27;1.58;62;
2010;20/09/2011;0;Clermont;432;Tours;0;1;A;1.83;3.25;4.75;2.16;1.64;62;
2010;20/09/2011;3267;Istres;107;Chateauroux;3;1;H;2.2;3.1;3.5;2.24;1.6;62;
