Season;Date;HomeTeamid;HomeTeamName;AwayTeamId;AwayTeamName;HomeGoals;AwayGoals;FullTimeResult;AverageHomeWinOdd;AverageDrawWinOdd;AverageAwayWinOdd;AvgOver2_5;AvgUnder2_5;Div
2010;20/08/2010;0;Aachen;182;Union Berlin;2;2;D;2.1;3.4;3.4;1.9;1.84;79;
2010;20/08/2010;0;Frankfurt FSV;0;Bielefeld;2;1;H;2.3;3.3;3.1;2.03;1.73;79;
2010;20/08/2010;0;Hertha;0;Oberhausen;3;2;H;1.4;4.5;7.5;1.72;2.04;79;
2010;21/08/2010;0;Ingolstadt;0;Augsburg;1;4;A;3.1;3.4;2.25;1.94;1.81;79;
2010;21/08/2010;0;Paderborn;190;Erzgebirge Aue;0;1;A;2;3.5;3.6;1.92;1.82;79;
2010;22/08/2010;0;Cottbus;158;Fortuna Dusseldorf;2;0;H;2.1;3.4;3;1.93;1.82;79;
2010;22/08/2010;0;Greuther Furth;0;Karlsruhe;4;1;H;2.2;3.4;3.2;1.87;1.87;79;
2010;22/08/2010;0;Osnabruck;0;Duisburg;1;3;A;2.45;3.4;2.75;1.93;1.82;79;
2010;23/08/2010;0;Bochum;0;Munich 1860;3;2;H;1.91;3.4;4;1.89;1.85;79;
2010;27/08/2010;0;Augsburg;0;Paderborn;1;0;H;1.53;3.8;6.5;1.66;2.13;79;
2010;27/08/2010;190;Erzgebirge Aue;0;Bochum;1;0;H;3.4;3.3;2.1;1.85;1.91;79;
2010;27/08/2010;0;Oberhausen;0;Frankfurt FSV;1;0;H;2.3;3.3;3;1.95;1.81;79;
2010;28/08/2010;0;Duisburg;0;Ingolstadt;4;1;H;1.62;3.75;5.25;1.68;2.07;79;
2010;28/08/2010;182;Union Berlin;0;Greuther Furth;1;2;A;2.3;3.25;3.1;1.78;1.97;79;
2010;29/08/2010;0;Bielefeld;0;Cottbus;1;2;A;2.25;3.3;3.1;1.92;1.83;79;
2010;29/08/2010;0;Karlsruhe;0;Aachen;3;0;H;2.25;3.3;3.1;1.81;1.94;79;
2010;29/08/2010;0;Munich 1860;0;Osnabruck;3;1;H;1.67;3.75;5;1.7;2.07;79;
2010;30/08/2010;158;Fortuna Dusseldorf;0;Hertha;1;2;A;2.88;3.3;2.4;1.91;1.84;79;
2010;10/09/2010;0;Ingolstadt;0;Oberhausen;1;2;A;2;3.5;3.6;1.77;2.01;79;
2010;10/09/2010;0;Osnabruck;190;Erzgebirge Aue;3;2;H;2.2;3.3;3.25;1.94;1.83;79;
2010;10/09/2010;0;Paderborn;182;Union Berlin;2;0;H;2.1;3.3;3.5;2.01;1.78;79;
2010;11/09/2010;0;Duisburg;0;Munich 1860;2;1;H;2;3.4;3.75;1.67;2.1;79;
2010;11/09/2010;0;Frankfurt FSV;158;Fortuna Dusseldorf;1;0;H;2.5;3.25;2.8;2.06;1.71;79;
2010;12/09/2010;0;Bochum;0;Augsburg;0;2;A;2.15;3.4;3.3;1.72;2.06;79;
2010;12/09/2010;0;Greuther Furth;0;Aachen;1;1;D;1.8;3.5;4.5;1.64;2.17;79;
2010;12/09/2010;0;Hertha;0;Bielefeld;3;1;H;1.53;4;6;1.67;2.09;79;
2010;13/09/2010;0;Cottbus;0;Karlsruhe;5;5;D;1.8;3.5;4.5;1.76;2.01;79;
2010;17/09/2010;0;Aachen;0;Cottbus;2;3;A;2.35;3.4;2.9;1.63;2.17;79;
2010;17/09/2010;0;Greuther Furth;0;Frankfurt FSV;1;0;H;1.73;3.6;4.75;1.8;1.97;79;
2010;17/09/2010;182;Union Berlin;0;Hertha;1;1;D;4.2;3.6;1.83;1.69;2.1;79;
2010;18/09/2010;0;Karlsruhe;0;Paderborn;2;1;H;1.85;3.4;4.2;1.66;2.11;79;
2010;18/09/2010;0;Oberhausen;0;Bochum;3;1;H;2.9;3.4;2.35;1.8;1.95;79;
2010;19/09/2010;0;Augsburg;0;Osnabruck;2;2;D;1.4;4.5;7.5;1.61;2.2;79;
2010;19/09/2010;0;Bielefeld;0;Ingolstadt;1;0;H;1.95;3.4;3.8;1.77;1.99;79;
2010;19/09/2010;190;Erzgebirge Aue;0;Duisburg;1;0;H;2.7;3.4;2.5;1.81;1.94;79;
2010;19/09/2010;158;Fortuna Dusseldorf;0;Munich 1860;1;2;A;2.3;3.4;3;1.9;1.85;79;
2010;21/09/2010;0;Cottbus;0;Greuther Furth;2;0;H;2.15;3.4;3.3;1.59;2.23;79;
2010;21/09/2010;0;Frankfurt FSV;0;Aachen;1;3;A;2.3;3.25;3.1;1.93;1.83;79;
2010;21/09/2010;0;Hertha;0;Karlsruhe;4;0;H;1.57;3.75;6;1.57;2.27;79;
2010;21/09/2010;0;Paderborn;0;Oberhausen;0;0;D;2.1;3.3;3.5;1.88;1.88;79;
2010;22/09/2010;0;Bochum;0;Bielefeld;3;1;H;1.73;3.6;4.75;1.82;1.93;79;
2010;22/09/2010;0;Duisburg;0;Augsburg;1;0;H;2.4;3.3;2.88;1.8;1.95;79;
2010;22/09/2010;0;Ingolstadt;158;Fortuna Dusseldorf;3;0;H;2.6;3.2;2.75;1.93;1.8;79;
2010;22/09/2010;0;Munich 1860;190;Erzgebirge Aue;0;0;D;1.67;3.6;5.25;1.73;2.02;79;
2010;22/09/2010;0;Osnabruck;182;Union Berlin;4;1;H;2.2;3.4;3.2;1.77;1.99;79;
2010;24/09/2010;0;Aachen;0;Paderborn;2;0;H;1.8;3.5;4.33;1.79;1.98;79;
2010;24/09/2010;0;Cottbus;0;Hertha;0;1;A;2.8;3.4;2.4;1.6;2.24;79;
2010;24/09/2010;0;Karlsruhe;0;Frankfurt FSV;0;2;A;1.8;3.5;4.5;1.86;1.9;79;
2010;25/09/2010;0;Bielefeld;190;Erzgebirge Aue;0;1;A;2.1;3.25;3.5;2.06;1.71;79;
2010;25/09/2010;0;Greuther Furth;0;Ingolstadt;1;0;H;1.7;3.6;5;1.75;2.02;79;
2010;26/09/2010;0;Augsburg;0;Munich 1860;1;2;A;1.8;3.5;4.33;1.72;2.04;79;
2010;26/09/2010;0;Oberhausen;0;Osnabruck;1;0;H;2.1;3.25;3.5;1.88;1.86;79;
2010;26/09/2010;182;Union Berlin;0;Duisburg;2;0;H;2.75;3.25;2.5;1.84;1.91;79;
2010;27/09/2010;158;Fortuna Dusseldorf;0;Bochum;0;1;A;2.4;3.25;2.88;1.94;1.8;79;
2010;01/10/2010;0;Duisburg;0;Oberhausen;3;0;H;1.67;3.75;5;1.77;2;79;
2010;01/10/2010;0;Ingolstadt;0;Karlsruhe;1;1;D;2.4;3.4;2.8;1.78;1.99;79;
2010;01/10/2010;0;Paderborn;0;Bielefeld;3;1;H;2.05;3.4;3.6;2.09;1.69;79;
2010;02/10/2010;0;Bochum;0;Greuther Furth;0;2;A;2.1;3.4;3.4;1.69;2.09;79;
2010;02/10/2010;0;Osnabruck;158;Fortuna Dusseldorf;2;3;A;2.25;3.4;3.1;1.93;1.82;79;
2010;03/10/2010;190;Erzgebirge Aue;0;Augsburg;3;2;H;2.8;3.4;2.4;2.01;1.76;79;
2010;03/10/2010;0;Frankfurt FSV;0;Cottbus;3;2;H;2.63;3.4;2.55;1.78;1.98;79;
2010;03/10/2010;0;Munich 1860;182;Union Berlin;1;0;H;1.73;3.6;4.75;1.72;2.04;79;
2010;04/10/2010;0;Hertha;0;Aachen;0;0;D;1.5;4;6.5;1.58;2.23;79;
2010;15/10/2010;158;Fortuna Dusseldorf;0;Augsburg;1;0;H;2.63;3.25;2.63;1.91;1.85;79;
2010;15/10/2010;0;Greuther Furth;0;Osnabruck;3;0;H;1.57;4;5.5;1.69;2.12;79;
2010;15/10/2010;182;Union Berlin;190;Erzgebirge Aue;1;1;D;2.15;3.4;3.4;2.08;1.7;79;
2010;16/10/2010;0;Frankfurt FSV;0;Hertha;0;1;A;4;3.4;1.91;1.81;1.95;79;
2010;16/10/2010;0;Karlsruhe;0;Bochum;0;2;A;2.4;3.3;2.9;1.87;1.88;79;
2010;17/10/2010;0;Aachen;0;Ingolstadt;2;1;H;1.7;3.75;4.75;1.7;2.09;79;
2010;17/10/2010;0;Cottbus;0;Paderborn;3;1;H;1.67;3.75;5;1.77;1.99;79;
2010;17/10/2010;0;Oberhausen;0;Munich 1860;0;0;D;2.7;3.25;2.6;1.83;1.92;79;
2010;18/10/2010;0;Bielefeld;0;Duisburg;1;3;A;3;3.3;2.3;1.93;1.82;79;
2010;22/10/2010;0;Augsburg;182;Union Berlin;2;1;H;1.7;3.6;5;1.84;1.93;79;
2010;22/10/2010;0;Hertha;0;Greuther Furth;2;0;H;1.67;3.6;5.25;1.78;2;79;
2010;22/10/2010;0;Osnabruck;0;Cottbus;2;0;H;3;3.4;2.3;1.6;2.22;79;
2010;23/10/2010;0;Ingolstadt;0;Frankfurt FSV;0;1;A;2.38;3.3;2.9;1.92;1.84;79;
2010;23/10/2010;0;Munich 1860;0;Bielefeld;0;0;D;1.57;3.75;6;1.68;2.11;79;
2010;24/10/2010;0;Bochum;0;Aachen;1;1;D;2.05;3.4;3.5;1.76;2.01;79;
2010;24/10/2010;0;Duisburg;0;Karlsruhe;3;0;H;1.67;3.6;5.25;1.66;2.12;79;
2010;24/10/2010;0;Paderborn;158;Fortuna Dusseldorf;3;0;H;2.5;3.2;2.8;1.99;1.76;79;
2010;25/10/2010;190;Erzgebirge Aue;0;Oberhausen;2;0;H;2;3.3;3.75;2.02;1.75;79;
2010;29/10/2010;0;Bielefeld;182;Union Berlin;1;2;A;2.3;3.3;3.1;1.93;1.85;79;
2010;29/10/2010;0;Frankfurt FSV;0;Paderborn;2;0;H;2;3.4;3.6;2;1.78;79;
2010;29/10/2010;0;Greuther Furth;190;Erzgebirge Aue;1;2;A;1.8;3.6;4.33;2.01;1.78;79;
2010;30/10/2010;0;Hertha;0;Ingolstadt;3;1;H;1.3;5;10;1.59;2.24;79;
2010;30/10/2010;0;Karlsruhe;0;Munich 1860;2;4;A;2.45;3.3;2.75;1.84;1.93;79;
2010;31/10/2010;0;Aachen;0;Osnabruck;2;1;H;1.62;3.75;5.5;1.66;2.11;79;
2010;31/10/2010;0;Cottbus;0;Bochum;2;1;H;2.2;3.3;3.2;1.7;2.09;79;
2010;31/10/2010;0;Oberhausen;0;Augsburg;0;3;A;2.9;3.3;2.38;1.95;1.81;79;
2010;01/11/2010;158;Fortuna Dusseldorf;0;Duisburg;1;0;H;2.75;3.3;2.5;1.97;1.79;79;
2010;05/11/2010;0;Bochum;0;Frankfurt FSV;1;0;H;1.91;3.4;4;1.96;1.81;79;
2010;05/11/2010;190;Erzgebirge Aue;158;Fortuna Dusseldorf;1;0;H;2;3.4;3.75;2.04;1.75;79;
2010;05/11/2010;0;Ingolstadt;0;Cottbus;1;2;A;2.7;3.4;2.5;1.77;2.01;79;
2010;06/11/2010;0;Augsburg;0;Bielefeld;3;0;H;1.4;4.5;8;1.59;2.24;79;
2010;06/11/2010;0;Duisburg;0;Greuther Furth;2;0;H;1.91;3.4;4;1.8;1.96;79;
2010;07/11/2010;0;Munich 1860;0;Aachen;2;1;H;2.1;3.4;3.4;1.8;1.96;79;
2010;07/11/2010;0;Paderborn;0;Hertha;1;0;H;4;3.4;1.91;1.96;1.8;79;
2010;07/11/2010;182;Union Berlin;0;Oberhausen;2;1;H;1.8;3.5;4.5;1.98;1.78;79;
2010;08/11/2010;0;Osnabruck;0;Karlsruhe;0;0;D;2.3;3.4;3;1.62;2.19;79;
2010;12/11/2010;158;Fortuna Dusseldorf;0;Oberhausen;3;0;H;1.67;3.6;5.25;2.02;1.76;79;
2010;12/11/2010;0;Greuther Furth;0;Augsburg;1;1;D;2.5;3.3;2.75;1.88;1.89;79;
2010;12/11/2010;0;Karlsruhe;190;Erzgebirge Aue;1;1;D;2.25;3.4;3.1;2.03;1.76;79;
2010;13/11/2010;0;Bielefeld;0;Osnabruck;2;1;H;2.5;3.3;2.75;1.82;1.94;79;
2010;13/11/2010;0;Frankfurt FSV;182;Union Berlin;2;1;H;2.4;3.3;2.88;2.06;1.72;79;
2010;14/11/2010;0;Aachen;0;Duisburg;2;2;D;2.5;3.3;2.75;1.81;1.94;79;
2010;14/11/2010;0;Cottbus;0;Munich 1860;0;0;D;2.05;3.4;3.5;1.58;2.25;79;
2010;14/11/2010;0;Ingolstadt;0;Paderborn;1;2;A;2.3;3.4;3;1.99;1.77;79;
2010;15/11/2010;0;Hertha;0;Bochum;2;0;H;1.6;3.75;5.75;1.81;1.95;79;
2010;19/11/2010;0;Oberhausen;0;Bielefeld;3;0;H;2.2;3.25;3.25;2.1;1.71;79;
2010;19/11/2010;0;Osnabruck;0;Hertha;2;0;H;4;3.4;1.91;1.94;1.83;79;
2010;19/11/2010;182;Union Berlin;158;Fortuna Dusseldorf;1;0;H;2.05;3.3;3.6;2.09;1.71;79;
2010;20/11/2010;0;Bochum;0;Ingolstadt;1;4;A;1.62;3.75;5.5;1.85;1.91;79;
2010;20/11/2010;0;Paderborn;0;Greuther Furth;0;4;A;2.5;3.2;2.88;2.03;1.75;79;
2010;21/11/2010;0;Augsburg;0;Karlsruhe;3;1;H;1.57;3.8;6;1.71;2.07;79;
2010;21/11/2010;190;Erzgebirge Aue;0;Aachen;2;1;H;2.25;3.2;3.2;2.06;1.72;79;
2010;21/11/2010;0;Munich 1860;0;Frankfurt FSV;3;3;D;1.75;3.5;4.75;2.05;1.73;79;
2010;22/11/2010;0;Duisburg;0;Cottbus;2;2;D;1.91;3.4;4;1.81;1.96;79;
2010;26/11/2010;0;Bielefeld;158;Fortuna Dusseldorf;0;2;A;2.75;3.3;2.5;2.02;1.74;79;
2010;26/11/2010;0;Bochum;0;Paderborn;3;0;H;1.8;3.5;4.33;1.83;1.91;79;
2010;26/11/2010;0;Frankfurt FSV;0;Osnabruck;4;1;H;1.91;3.4;4;1.94;1.8;79;
2010;27/11/2010;0;Aachen;0;Augsburg;1;3;A;2.45;3.3;2.8;1.76;1.99;79;
2010;27/11/2010;0;Hertha;0;Duisburg;0;2;A;1.85;3.4;4.2;1.8;1.95;79;
2010;28/11/2010;0;Cottbus;190;Erzgebirge Aue;6;0;H;1.91;3.4;4;1.86;1.88;79;
2010;28/11/2010;0;Ingolstadt;182;Union Berlin;1;0;H;2.5;3.3;2.75;1.88;1.86;79;
2010;28/11/2010;0;Karlsruhe;0;Oberhausen;4;0;H;1.83;3.4;4.33;1.8;1.94;79;
2010;29/11/2010;0;Greuther Furth;0;Munich 1860;1;0;H;2.1;3.4;3.4;1.87;1.9;79;
2010;03/12/2010;0;Duisburg;0;Frankfurt FSV;1;3;A;1.57;3.75;6;1.75;2.04;79;
2010;03/12/2010;0;Oberhausen;0;Aachen;1;2;A;3.1;3.25;2.3;1.87;1.9;79;
2010;03/12/2010;0;Osnabruck;0;Paderborn;2;2;D;2.2;3.4;3.2;1.93;1.84;79;
2010;04/12/2010;0;Augsburg;0;Cottbus;4;0;H;1.91;3.6;3.75;1.66;2.13;79;
2010;04/12/2010;0;Bielefeld;0;Greuther Furth;1;4;A;3.6;3.4;2;1.96;1.81;79;
2010;05/12/2010;190;Erzgebirge Aue;0;Ingolstadt;1;1;D;1.95;3.4;3.8;1.94;1.82;79;
2010;05/12/2010;158;Fortuna Dusseldorf;0;Karlsruhe;1;0;H;1.91;3.4;4;1.93;1.83;79;
2010;05/12/2010;0;Munich 1860;0;Hertha;1;0;H;2.63;3.25;2.63;1.97;1.8;79;
2010;06/12/2010;182;Union Berlin;0;Bochum;0;1;A;2.5;3.2;2.8;2.01;1.76;79;
2010;10/12/2010;0;Aachen;158;Fortuna Dusseldorf;0;0;D;1.91;3.4;4;1.96;1.82;79;
2010;10/12/2010;0;Greuther Furth;0;Oberhausen;0;0;D;1.4;4.33;8.5;1.66;2.18;79;
2010;10/12/2010;0;Karlsruhe;0;Bielefeld;1;0;H;1.5;4;6.5;1.69;2.12;79;
2010;11/12/2010;0;Frankfurt FSV;0;Augsburg;1;2;A;2.88;3.3;2.4;1.99;1.79;79;
2010;11/12/2010;0;Paderborn;0;Duisburg;0;0;D;3.1;3.3;2.25;1.92;1.85;79;
2010;12/12/2010;0;Bochum;0;Osnabruck;2;1;H;1.7;3.5;5;1.73;2.05;79;
2010;12/12/2010;0;Hertha;190;Erzgebirge Aue;2;0;H;1.57;3.75;6;1.98;1.79;79;
2010;12/12/2010;0;Ingolstadt;0;Munich 1860;1;1;D;2.6;3.3;2.63;2;1.77;79;
2010;13/12/2010;0;Cottbus;182;Union Berlin;0;0;D;1.8;3.5;4.5;1.8;1.96;79;
2010;17/12/2010;0;Bielefeld;0;Aachen;1;3;A;4.75;3.75;1.7;1.92;1.86;79;
2010;17/12/2010;0;Duisburg;0;Bochum;0;1;A;1.8;3.6;4.33;2.09;1.71;79;
2010;18/12/2010;0;Augsburg;0;Hertha;1;1;D;2.4;3.3;2.9;1.95;1.81;79;
