Season;Date;HomeTeamid;HomeTeamName;AwayTeamId;AwayTeamName;HomeGoals;AwayGoals;FullTimeResult;AverageHomeWinOdd;AverageDrawWinOdd;AverageAwayWinOdd;AvgOver2_5;AvgUnder2_5;Div
2010;28/08/2010;0;Roma;509;Cesena;0;0;D;1.29;4.75;13;1.76;2.02;135;
2010;28/08/2010;494;Udinese;495;Genoa;0;1;A;2.4;3.1;3.1;1.93;1.84;135;
2010;29/08/2010;508;Bari;496;Juventus;1;0;H;4.33;3.25;1.91;2.1;1.7;135;
2010;29/08/2010;491;Chievo;1580;Catania;2;1;H;2.2;3.1;3.5;2.17;1.65;135;
2010;29/08/2010;502;Fiorentina;492;Napoli;1;1;D;2.3;3.1;3.3;2.03;1.75;135;
2010;29/08/2010;0;Milan;867;Lecce;4;0;H;1.33;4.5;11;1.86;1.9;135;
2010;29/08/2010;522;Palermo;490;Cagliari;0;0;D;1.73;3.25;5.5;1.95;1.8;135;
2010;29/08/2010;523;Parma;518;Brescia;2;0;H;1.83;3.25;4.75;2.1;1.69;135;
2010;29/08/2010;498;Sampdoria;487;Lazio;2;0;H;2.1;3.1;3.75;2.04;1.74;135;
2010;30/08/2010;500;Bologna;505;Inter;0;0;D;6.25;3.5;1.62;1.97;1.8;135;
2010;11/09/2010;490;Cagliari;0;Roma;5;1;H;3.25;3.1;2.3;1.86;1.9;135;
2010;11/09/2010;509;Cesena;0;Milan;2;0;H;7;3.75;1.53;1.93;1.84;135;
2010;11/09/2010;505;Inter;494;Udinese;2;1;H;1.4;4.33;8.5;1.79;1.98;135;
2010;12/09/2010;518;Brescia;522;Palermo;3;2;H;3.25;3.1;2.3;1.97;1.81;135;
2010;12/09/2010;1580;Catania;523;Parma;2;1;H;2.25;3.1;3.4;2.11;1.7;135;
2010;12/09/2010;495;Genoa;491;Chievo;1;3;A;1.7;3.5;5.25;1.9;1.87;135;
2010;12/09/2010;496;Juventus;498;Sampdoria;3;3;D;1.8;3.5;4.5;1.95;1.82;135;
