Season;Date;HomeTeamid;HomeTeamName;AwayTeamId;AwayTeamName;HomeGoals;AwayGoals;FullTimeResult;AverageHomeWinOdd;AverageDrawWinOdd;AverageAwayWinOdd;AvgOver2_5;AvgUnder2_5;Div
2010;20/08/2010;157;Bayern Munich;161;Wolfsburg;2;1;H;1.57;4;5.5;1.55;2.33;78;
2010;21/08/2010;192;FC Koln;745;Kaiserslautern;1;3;A;2.1;3.4;3.4;2.04;1.73;78;
2010;21/08/2010;160;Freiburg;186;St Pauli;1;3;A;2.2;3.3;3.25;1.87;1.88;78;
2010;21/08/2010;175;Hamburg;174;Schalke 04;2;1;H;2.38;3.4;2.88;1.94;1.82;78;
2010;21/08/2010;166;Hannover;169;Ein Frankfurt;2;1;H;2.6;3.25;2.7;1.87;1.88;78;
2010;21/08/2010;167;Hoffenheim;162;Werder Bremen;4;1;H;2.88;3.4;2.38;1.59;2.27;78;
2010;21/08/2010;163;M'gladbach;171;Nurnberg;1;1;D;1.91;3.4;4;1.9;1.85;78;
2010;22/08/2010;165;Dortmund;168;Leverkusen;0;2;A;2.38;3.4;2.88;1.76;2.01;78;
2010;22/08/2010;164;Mainz;172;Stuttgart;2;0;H;3.1;3.4;2.25;1.87;1.88;78;
2010;27/08/2010;745;Kaiserslautern;157;Bayern Munich;2;0;H;7;4.33;1.44;1.64;2.19;78;
2010;28/08/2010;169;Ein Frankfurt;175;Hamburg;1;3;A;3.1;3.5;2.2;1.71;2.08;78;
2010;28/08/2010;171;Nurnberg;160;Freiburg;1;2;A;1.91;3.4;4;2.03;1.74;78;
2010;28/08/2010;174;Schalke 04;166;Hannover;1;2;A;1.33;4.75;10;1.68;2.12;78;
2010;28/08/2010;186;St Pauli;167;Hoffenheim;0;1;A;3.2;3.4;2.2;1.67;2.14;78;
2010;28/08/2010;162;Werder Bremen;192;FC Koln;4;2;H;1.4;4.75;7;1.5;2.48;78;
2010;28/08/2010;161;Wolfsburg;164;Mainz;3;4;A;1.57;4;5.5;1.54;2.37;78;
2010;29/08/2010;168;Leverkusen;163;M'gladbach;3;6;A;1.36;4.75;8;1.55;2.34;78;
2010;29/08/2010;172;Stuttgart;165;Dortmund;1;3;A;2.2;3.3;3.25;1.78;2;78;
2010;10/09/2010;167;Hoffenheim;174;Schalke 04;2;0;H;2.4;3.3;2.88;1.76;2.03;78;
2010;11/09/2010;157;Bayern Munich;162;Werder Bremen;0;0;D;1.57;4;5.5;1.43;2.69;78;
2010;11/09/2010;165;Dortmund;161;Wolfsburg;2;0;H;2.1;3.5;3.25;1.6;2.24;78;
2010;11/09/2010;160;Freiburg;172;Stuttgart;2;1;H;3.4;3.4;2.1;1.83;1.95;78;
2010;11/09/2010;175;Hamburg;171;Nurnberg;1;1;D;1.36;4.75;8.5;1.53;2.4;78;
2010;11/09/2010;166;Hannover;168;Leverkusen;2;2;D;3.75;3.4;2;1.6;2.25;78;
2010;11/09/2010;163;M'gladbach;169;Ein Frankfurt;0;4;A;2.1;3.4;3.4;1.71;2.09;78;
2010;12/09/2010;192;FC Koln;186;St Pauli;1;0;H;2.2;3.25;3.25;1.88;1.89;78;
2010;12/09/2010;164;Mainz;745;Kaiserslautern;2;1;H;2.2;3.3;3.25;1.91;1.86;78;
2010;17/09/2010;169;Ein Frankfurt;160;Freiburg;0;1;A;1.8;3.5;4.5;1.72;2.07;78;
2010;18/09/2010;157;Bayern Munich;192;FC Koln;0;0;D;1.22;6;12;1.43;2.68;78;
2010;18/09/2010;745;Kaiserslautern;167;Hoffenheim;2;2;D;2.8;3.4;2.4;1.83;1.93;78;
2010;18/09/2010;172;Stuttgart;163;M'gladbach;7;0;H;1.8;3.5;4.5;1.64;2.18;78;
2010;18/09/2010;162;Werder Bremen;164;Mainz;0;2;A;1.44;4.33;7;1.42;2.7;78;
2010;18/09/2010;161;Wolfsburg;166;Hannover;2;0;H;1.53;4;6;1.41;2.76;78;
2010;19/09/2010;168;Leverkusen;171;Nurnberg;0;0;D;1.44;4.33;7;1.44;2.66;78;
2010;19/09/2010;174;Schalke 04;165;Dortmund;1;3;A;2.25;3.3;3.2;1.87;1.89;78;
2010;19/09/2010;186;St Pauli;175;Hamburg;1;1;D;3.6;3.5;2;1.77;2.01;78;
2010;21/09/2010;166;Hannover;162;Werder Bremen;4;1;H;3.6;3.5;2;1.53;2.36;78;
2010;21/09/2010;167;Hoffenheim;157;Bayern Munich;1;2;A;3.6;3.5;2;1.75;2.02;78;
2010;21/09/2010;164;Mainz;192;FC Koln;2;0;H;1.91;3.4;4;1.91;1.85;78;
2010;22/09/2010;165;Dortmund;745;Kaiserslautern;5;0;H;1.5;4;7;1.61;2.22;78;
2010;22/09/2010;160;Freiburg;174;Schalke 04;1;2;A;3.1;3.3;2.25;1.89;1.87;78;
2010;22/09/2010;175;Hamburg;161;Wolfsburg;1;3;A;1.91;3.5;3.9;1.61;2.22;78;
2010;22/09/2010;168;Leverkusen;169;Ein Frankfurt;2;1;H;1.67;3.6;5.25;1.58;2.26;78;
2010;22/09/2010;163;M'gladbach;186;St Pauli;1;2;A;2;3.3;3.8;1.62;2.2;78;
2010;22/09/2010;171;Nurnberg;172;Stuttgart;2;1;H;3.1;3.3;2.3;1.83;1.93;78;
2010;24/09/2010;192;FC Koln;167;Hoffenheim;1;1;D;3.25;3.3;2.2;1.95;1.81;78;
