Season;Date;HomeTeamid;HomeTeamName;AwayTeamId;AwayTeamName;HomeGoals;AwayGoals;FullTimeResult;AverageHomeWinOdd;AverageDrawWinOdd;AverageAwayWinOdd;AvgOver2_5;AvgUnder2_5;Div
2010;13/08/2010;0;Sp Braga;216;Portimonense;3;1;H;1.36;4.5;9;2.12;1.66;94;
2010;14/08/2010;214;Maritimo;0;Setubal;0;1;A;1.7;3.5;5.25;2.2;1.61;94;
2010;14/08/2010;0;Naval;0;Porto;0;1;A;9;4.5;1.36;2.1;1.67;94;
2010;14/08/2010;234;Pacos Ferreira;0;Sp Lisbon;1;0;H;4.75;3.4;1.8;2.22;1.59;94;
2010;15/08/2010;0;Beira Mar;0;Leiria;0;0;D;2.5;3;3;2.33;1.54;94;
2010;15/08/2010;211;Benfica;239;Academica;1;2;A;1.18;6.5;17;1.64;2.15;94;
2010;15/08/2010;226;Rio Ave;225;Nacional;0;1;A;2.63;3;2.88;2.35;1.53;94;
2010;16/08/2010;807;Olhanense;224;Guimaraes;0;0;D;3;3;2.5;2.41;1.51;94;
2010;20/08/2010;239;Academica;807;Olhanense;1;1;D;1.95;3.3;4;2.39;1.52;94;
2010;21/08/2010;225;Nacional;211;Benfica;2;1;H;6;3.5;1.62;2;1.76;94;
2010;21/08/2010;0;Setubal;0;Sp Braga;0;0;D;5.25;3.4;1.7;2.22;1.59;94;
2010;22/08/2010;0;Leiria;234;Pacos Ferreira;0;0;D;2.2;3.1;3.4;2.45;1.5;94;
2010;22/08/2010;216;Portimonense;0;Naval;0;1;A;2.4;3.2;2.9;2.49;1.48;94;
2010;22/08/2010;0;Porto;0;Beira Mar;3;0;H;1.18;6.5;13;1.72;2.04;94;
2010;22/08/2010;0;Sp Lisbon;214;Maritimo;1;0;H;1.55;3.7;6.5;2.2;1.6;94;
2010;23/08/2010;224;Guimaraes;226;Rio Ave;0;0;D;1.67;3.4;5.75;2.24;1.58;94;
2010;28/08/2010;211;Benfica;0;Setubal;3;0;H;1.22;5.5;15;1.6;2.2;94;
2010;28/08/2010;225;Nacional;224;Guimaraes;1;3;A;2.2;3.1;3.5;2.36;1.53;94;
2010;29/08/2010;0;Beira Mar;239;Academica;2;1;H;2.88;3;2.63;2.39;1.52;94;
2010;29/08/2010;807;Olhanense;0;Leiria;1;0;H;2.4;3.1;3.1;2.41;1.51;94;
2010;29/08/2010;234;Pacos Ferreira;216;Portimonense;2;2;D;1.83;3.4;4.5;2.27;1.55;94;
2010;29/08/2010;226;Rio Ave;0;Porto;0;2;A;8.5;4.33;1.4;2;1.75;94;
2010;29/08/2010;0;Sp Braga;214;Maritimo;1;0;H;1.57;3.8;6;2.01;1.74;94;
2010;30/08/2010;0;Naval;0;Sp Lisbon;1;3;A;5;3.4;1.75;2.29;1.55;94;
2010;10/09/2010;224;Guimaraes;211;Benfica;2;1;H;5.5;3.5;1.67;1.94;1.82;94;
2010;11/09/2010;0;Porto;0;Sp Braga;3;2;H;1.57;3.8;6;2.06;1.72;94;
2010;11/09/2010;0;Sp Lisbon;807;Olhanense;0;0;D;1.3;5;11;1.88;1.87;94;
2010;12/09/2010;239;Academica;0;Naval;3;0;H;2;3.2;4;2.43;1.51;94;
2010;12/09/2010;0;Leiria;225;Nacional;2;1;H;2.8;3;2.7;2.39;1.51;94;
2010;12/09/2010;214;Maritimo;234;Pacos Ferreira;1;1;D;2.05;3.25;3.75;2.37;1.53;94;
2010;12/09/2010;216;Portimonense;226;Rio Ave;3;1;H;2.63;3;2.8;2.5;1.48;94;
2010;13/09/2010;0;Setubal;0;Beira Mar;0;0;D;2.2;3.1;3.5;2.43;1.5;94;
2010;17/09/2010;807;Olhanense;216;Portimonense;2;0;H;2.1;3.1;3.75;2.36;1.53;94;
2010;18/09/2010;0;Beira Mar;214;Maritimo;1;1;D;2.5;3;2.75;2.3;1.55;94;
2010;18/09/2010;224;Guimaraes;0;Leiria;1;0;H;1.65;3.4;5;2.2;1.6;94;
2010;19/09/2010;211;Benfica;0;Sp Lisbon;2;0;H;1.8;3.25;4.33;2.03;1.74;94;
2010;19/09/2010;0;Naval;0;Setubal;0;0;D;2.2;3;3.25;2.44;1.5;94;
2010;19/09/2010;234;Pacos Ferreira;0;Sp Braga;2;2;D;4.33;3.25;1.8;2.21;1.6;94;
2010;19/09/2010;226;Rio Ave;239;Academica;2;2;D;2.4;3;2.9;2.42;1.51;94;
2010;20/09/2010;225;Nacional;0;Porto;0;2;A;6;3.7;1.53;1.96;1.8;94;
2010;24/09/2010;0;Sp Braga;0;Naval;3;1;H;1.44;4.2;7.5;2.01;1.76;94;
2010;25/09/2010;239;Academica;224;Guimaraes;3;1;H;2.5;3;3;2.37;1.52;94;
2010;25/09/2010;214;Maritimo;211;Benfica;0;1;A;5;3.5;1.73;1.98;1.78;94;
