Season;Date;HomeTeamid;HomeTeamName;AwayTeamId;AwayTeamName;HomeGoals;AwayGoals;FullTimeResult;AverageHomeWinOdd;AverageDrawWinOdd;AverageAwayWinOdd;AvgOver2_5;AvgUnder2_5;Div
2010;27/08/2010;720;Valladolid;0;Villarreal B;3;0;H;1.8;3.4;4.5;2.01;1.74;141;
2010;28/08/2010;0;Celta;712;Barcelona B;1;2;A;2.1;3.1;3.6;2.19;1.6;141;
2010;28/08/2010;797;Elche;0;Recreativo;1;0;H;2.05;3.2;3.75;2.15;1.63;141;
2010;28/08/2010;547;Girona;719;Tenerife;4;2;H;3;3;2.5;2.21;1.6;141;
2010;28/08/2010;534;Las Palmas;714;Gimnastic;3;2;H;2.1;3.1;3.6;2.24;1.57;141;
2010;28/08/2010;4907;Ponferradina;726;Huesca;0;0;D;2.25;3.2;3.2;2.22;1.58;141;
2010;28/08/2010;0;Xerez;5262;Cartagena;1;4;A;1.95;3.25;4;2.04;1.69;141;
2010;29/08/2010;722;Albacete;711;Alcorcon;1;1;D;2.3;3;3.3;2.18;1.61;141;
2010;29/08/2010;0;Betis;715;Granada;4;1;H;1.73;3.4;5;2.06;1.68;141;
2010;29/08/2010;0;Salamanca;713;Cordoba;1;1;D;2.4;3;3.1;2.25;1.57;141;
2010;29/08/2010;728;Vallecano;717;Numancia;3;2;H;2.1;3.1;3.6;2.14;1.64;141;
2010;04/09/2010;5262;Cartagena;797;Elche;0;1;A;2.15;3.2;3.4;2.18;1.62;141;
2010;04/09/2010;713;Cordoba;0;Vallecano;2;3;A;2.4;3.1;3;2.2;1.6;141;
2010;04/09/2010;714;Gimnastic;547;Girona;2;0;H;2.15;3.1;3.5;2.19;1.61;141;
2010;04/09/2010;726;Huesca;534;Las Palmas;0;0;D;2.2;3.1;3.4;2.31;1.55;141;
2010;04/09/2010;0;Recreativo;0;Betis;1;3;A;2.7;3;2.7;2.18;1.61;141;
2010;04/09/2010;9595;Villarreal B;722;Albacete;1;0;H;2.15;3.1;3.5;2.16;1.62;141;
2010;05/09/2010;711;Alcorcon;4907;Ponferradina;2;0;H;2.2;3.2;3.25;2.25;1.58;141;
2010;05/09/2010;712;Barcelona B;0;Xerez;2;1;H;2.25;3.1;3.3;2.19;1.61;141;
2010;05/09/2010;715;Granada;720;Valladolid;0;1;A;3;3;2.5;2.19;1.62;141;
2010;05/09/2010;717;Numancia;0;Celta;1;3;A;2.1;3.2;3.6;2.19;1.61;141;
2010;05/09/2010;719;Tenerife;0;Salamanca;1;2;A;1.73;3.3;5.25;2.18;1.62;141;
2010;10/09/2010;0;Salamanca;714;Gimnastic;1;0;H;2.15;3.1;3.6;2.19;1.61;141;
2010;11/09/2010;722;Albacete;715;Granada;2;1;H;2.1;3.1;3.75;2.16;1.64;141;
2010;11/09/2010;5262;Cartagena;712;Barcelona B;5;1;H;2.3;3;3.3;2.08;1.67;141;
2010;11/09/2010;0;Celta;713;Cordoba;3;2;H;1.91;3.25;4.2;2.19;1.61;141;
2010;11/09/2010;797;Elche;0;Betis;0;2;A;2.8;3;2.63;2.08;1.67;141;
2010;11/09/2010;534;Las Palmas;711;Alcorcon;4;1;H;1.91;3.25;4.33;2.19;1.61;141;
2010;11/09/2010;4907;Ponferradina;0;Villarreal B;1;5;A;2.3;3;3.3;2.21;1.6;141;
2010;11/09/2010;728;Vallecano;719;Tenerife;1;0;H;2.25;3.1;3.3;1.94;1.82;141;
2010;12/09/2010;547;Girona;726;Huesca;3;1;H;2.38;3;3.2;2.25;1.58;141;
2010;12/09/2010;720;Valladolid;0;Recreativo;4;0;H;1.67;3.5;5.5;2.19;1.61;141;
2010;12/09/2010;0;Xerez;717;Numancia;1;0;H;2.1;3.2;3.6;2.01;1.76;141;
2010;17/09/2010;9595;Villarreal B;534;Las Palmas;0;3;A;2.25;3.1;3.3;2.01;1.76;141;
2010;18/09/2010;711;Alcorcon;547;Girona;3;1;H;2.5;3.1;2.88;2.19;1.61;141;
2010;18/09/2010;712;Barcelona B;797;Elche;2;0;H;2.35;3.1;3.1;2.06;1.71;141;
2010;18/09/2010;713;Cordoba;0;Xerez;0;2;A;2.3;3.1;3.25;2.14;1.64;141;
2010;18/09/2010;726;Huesca;0;Salamanca;0;1;A;2.4;3.1;3;2.33;1.54;141;
2010;18/09/2010;717;Numancia;5262;Cartagena;2;0;H;2.25;3.1;3.3;2.14;1.64;141;
2010;18/09/2010;719;Tenerife;0;Celta;0;2;A;2.2;3.1;3.4;1.99;1.77;141;
2010;19/09/2010;0;Betis;720;Valladolid;2;1;H;2.05;3.2;3.75;2.18;1.62;141;
2010;19/09/2010;714;Gimnastic;0;Vallecano;0;1;A;2.55;3.1;2.8;2.15;1.63;141;
2010;19/09/2010;715;Granada;4907;Ponferradina;2;0;H;2;3.1;4;2.2;1.62;141;
2010;19/09/2010;0;Recreativo;722;Albacete;0;0;D;2.15;3.1;3.6;2.2;1.61;141;
2010;24/09/2010;0;Xerez;719;Tenerife;2;0;H;2.1;3.25;3.5;2.11;1.67;141;
2010;25/09/2010;722;Albacete;0;Betis;2;1;H;3.4;3.1;2.2;2.12;1.65;141;
