Date;HomeTeamid;HomeTeamName;AwayTeamId;AwayTeamName;HomeGoals;AwayGoals;
12/09/2020;535;Fulham;494;Arsenal;0;3;
12/09/2020;0;Crystal Palace;0;Southampton;1;0;
12/09/2020;550;Liverpool;0;Leeds;4;3;
12/09/2020;598;West Ham;562;Newcastle;0;2;
13/09/2020;597;West Brom;0;Leicester;0;3;
13/09/2020;593;Tottenham;8560;Everton;0;1;
14/09/2020;0;Brighton;519;Chelsea;1;3;
14/09/2020;0;Sheffield United;600;Wolves;0;2;
19/09/2020;8560;Everton;597;West Brom;5;2;
19/09/2020;0;Leeds;535;Fulham;4;3;
19/09/2020;556;Man United;0;Crystal Palace;1;3;
19/09/2020;494;Arsenal;598;West Ham;2;1;
20/09/2020;0;Southampton;593;Tottenham;2;5;
20/09/2020;562;Newcastle;0;Brighton;0;3;
20/09/2020;519;Chelsea;550;Liverpool;0;2;
20/09/2020;0;Leicester;0;Burnley;4;2;
21/09/2020;495;Aston Villa;0;Sheffield United;1;0;
21/09/2020;600;Wolves;555;Man City;1;3;
26/09/2020;0;Brighton;556;Man United;2;3;
26/09/2020;0;Crystal Palace;8560;Everton;1;2;
26/09/2020;597;West Brom;519;Chelsea;3;3;
26/09/2020;0;Burnley;0;Southampton;0;1;
27/09/2020;0;Sheffield United;0;Leeds;0;1;
27/09/2020;593;Tottenham;562;Newcastle;1;1;
27/09/2020;555;Man City;0;Leicester;2;5;
27/09/2020;598;West Ham;600;Wolves;4;0;
28/09/2020;535;Fulham;495;Aston Villa;0;3;
28/09/2020;550;Liverpool;494;Arsenal;3;1;
03/10/2020;519;Chelsea;0;Crystal Palace;4;0;
03/10/2020;8560;Everton;0;Brighton;4;2;
03/10/2020;0;Leeds;555;Man City;1;1;
03/10/2020;562;Newcastle;0;Burnley;3;1;
04/10/2020;0;Leicester;598;West Ham;0;3;
04/10/2020;0;Southampton;597;West Brom;2;0;
04/10/2020;494;Arsenal;0;Sheffield United;2;1;
04/10/2020;600;Wolves;535;Fulham;1;0;
04/10/2020;556;Man United;593;Tottenham;1;6;
04/10/2020;495;Aston Villa;550;Liverpool;7;2;
17/10/2020;8560;Everton;550;Liverpool;2;2;
17/10/2020;519;Chelsea;0;Southampton;3;3;
17/10/2020;555;Man City;494;Arsenal;1;0;
17/10/2020;562;Newcastle;556;Man United;1;4;
18/10/2020;0;Sheffield United;535;Fulham;1;1;
18/10/2020;0;Crystal Palace;0;Brighton;1;1;
18/10/2020;593;Tottenham;598;West Ham;3;3;
18/10/2020;0;Leicester;495;Aston Villa;0;1;
19/10/2020;597;West Brom;0;Burnley;0;0;
19/10/2020;0;Leeds;600;Wolves;0;1;
23/10/2020;495;Aston Villa;0;Leeds;0;3;
24/10/2020;598;West Ham;555;Man City;1;1;
24/10/2020;535;Fulham;0;Crystal Palace;1;2;
24/10/2020;556;Man United;519;Chelsea;0;0;
24/10/2020;550;Liverpool;0;Sheffield United;2;1;
25/10/2020;0;Southampton;8560;Everton;2;0;
25/10/2020;600;Wolves;562;Newcastle;1;1;
25/10/2020;494;Arsenal;0;Leicester;0;1;
26/10/2020;0;Brighton;597;West Brom;1;1;
26/10/2020;0;Burnley;593;Tottenham;0;1;
30/10/2020;600;Wolves;0;Crystal Palace;2;0;
31/10/2020;0;Sheffield United;555;Man City;0;1;
31/10/2020;0;Burnley;519;Chelsea;0;3;
31/10/2020;550;Liverpool;598;West Ham;2;1;
01/11/2020;495;Aston Villa;0;Southampton;3;4;
01/11/2020;562;Newcastle;8560;Everton;2;1;
01/11/2020;556;Man United;494;Arsenal;0;1;
01/11/2020;593;Tottenham;0;Brighton;2;1;
02/11/2020;535;Fulham;597;West Brom;2;0;
02/11/2020;0;Leeds;0;Leicester;1;4;
06/11/2020;0;Brighton;0;Burnley;0;0;
06/11/2020;0;Southampton;562;Newcastle;2;0;
07/11/2020;8560;Everton;556;Man United;1;3;
07/11/2020;0;Crystal Palace;0;Leeds;4;1;
07/11/2020;519;Chelsea;0;Sheffield United;4;1;
07/11/2020;598;West Ham;535;Fulham;1;0;
08/11/2020;597;West Brom;593;Tottenham;0;1;
08/11/2020;0;Leicester;600;Wolves;1;0;
08/11/2020;555;Man City;550;Liverpool;1;1;
08/11/2020;494;Arsenal;495;Aston Villa;0;3;
21/11/2020;562;Newcastle;519;Chelsea;0;2;
21/11/2020;495;Aston Villa;0;Brighton;1;2;
21/11/2020;593;Tottenham;555;Man City;2;0;
21/11/2020;556;Man United;597;West Brom;1;0;
22/11/2020;535;Fulham;8560;Everton;2;3;
22/11/2020;0;Sheffield United;598;West Ham;0;1;
22/11/2020;0;Leeds;494;Arsenal;0;0;
22/11/2020;550;Liverpool;0;Leicester;3;0;
23/11/2020;0;Burnley;0;Crystal Palace;1;0;
23/11/2020;600;Wolves;0;Southampton;1;1;
27/11/2020;0;Crystal Palace;562;Newcastle;0;2;
28/11/2020;0;Brighton;550;Liverpool;1;1;
28/11/2020;555;Man City;0;Burnley;5;0;
28/11/2020;8560;Everton;0;Leeds;0;1;
28/11/2020;597;West Brom;0;Sheffield United;1;0;
29/11/2020;0;Southampton;556;Man United;2;3;
29/11/2020;519;Chelsea;593;Tottenham;0;0;
29/11/2020;494;Arsenal;600;Wolves;1;2;
30/11/2020;0;Leicester;535;Fulham;1;2;
30/11/2020;598;West Ham;495;Aston Villa;2;1;
05/12/2020;0;Burnley;8560;Everton;1;1;
05/12/2020;555;Man City;535;Fulham;2;0;
05/12/2020;598;West Ham;556;Man United;1;3;
05/12/2020;519;Chelsea;0;Leeds;3;1;
06/12/2020;597;West Brom;0;Crystal Palace;1;5;
06/12/2020;0;Sheffield United;0;Leicester;1;2;
06/12/2020;593;Tottenham;494;Arsenal;2;0;
06/12/2020;550;Liverpool;600;Wolves;4;0;
07/12/2020;0;Brighton;0;Southampton;1;2;
11/12/2020;0;Leeds;598;West Ham;1;2;
12/12/2020;600;Wolves;495;Aston Villa;0;1;
12/12/2020;562;Newcastle;597;West Brom;2;1;
12/12/2020;556;Man United;555;Man City;0;0;
12/12/2020;8560;Everton;519;Chelsea;1;0;
13/12/2020;0;Southampton;0;Sheffield United;3;0;
13/12/2020;0;Crystal Palace;593;Tottenham;1;1;
13/12/2020;535;Fulham;550;Liverpool;1;1;
13/12/2020;494;Arsenal;0;Burnley;0;1;
13/12/2020;0;Leicester;0;Brighton;3;0;
15/12/2020;600;Wolves;519;Chelsea;2;1;
15/12/2020;555;Man City;597;West Brom;1;1;
16/12/2020;494;Arsenal;0;Southampton;1;1;
16/12/2020;0;Leeds;562;Newcastle;5;2;
16/12/2020;0;Leicester;8560;Everton;0;2;
16/12/2020;535;Fulham;0;Brighton;0;0;
16/12/2020;550;Liverpool;593;Tottenham;2;1;
16/12/2020;598;West Ham;0;Crystal Palace;1;1;
17/12/2020;495;Aston Villa;0;Burnley;0;0;
17/12/2020;0;Sheffield United;556;Man United;2;3;
19/12/2020;0;Crystal Palace;550;Liverpool;0;7;
19/12/2020;0;Southampton;555;Man City;0;1;
19/12/2020;8560;Everton;494;Arsenal;2;1;
19/12/2020;562;Newcastle;535;Fulham;1;1;
20/12/2020;0;Brighton;0;Sheffield United;1;1;
20/12/2020;593;Tottenham;0;Leicester;0;2;
20/12/2020;556;Man United;0;Leeds;6;2;
20/12/2020;597;West Brom;495;Aston Villa;0;3;
21/12/2020;0;Burnley;600;Wolves;2;1;
