Date;HomeTeamid;HomeTeamName;AwayTeamId;AwayTeamName;HomeGoals;AwayGoals;
13/08/2021;10503;Brentford;494;Arsenal;2;0;
14/08/2021;556;Man United;546;Leeds;5;1;
14/08/2021;512;Burnley;508;Brighton;1;2;
14/08/2021;519;Chelsea;525;Crystal Palace;3;0;
14/08/2021;8560;Everton;585;Southampton;3;1;
14/08/2021;547;Leicester;600;Wolves;1;0;
14/08/2021;596;Watford;495;Aston Villa;3;2;
14/08/2021;565;Norwich;550;Liverpool;0;3;
15/08/2021;562;Newcastle;598;West Ham;2;4;
15/08/2021;593;Tottenham;555;Man City;1;0;
21/08/2021;550;Liverpool;512;Burnley;2;0;
21/08/2021;495;Aston Villa;562;Newcastle;2;0;
21/08/2021;525;Crystal Palace;10503;Brentford;0;0;
21/08/2021;546;Leeds;8560;Everton;2;2;
21/08/2021;555;Man City;565;Norwich;5;0;
21/08/2021;508;Brighton;596;Watford;2;0;
22/08/2021;585;Southampton;556;Man United;1;1;
22/08/2021;600;Wolves;593;Tottenham;0;1;
22/08/2021;494;Arsenal;519;Chelsea;0;2;
23/08/2021;598;West Ham;547;Leicester;4;1;
28/08/2021;555;Man City;494;Arsenal;5;0;
28/08/2021;495;Aston Villa;10503;Brentford;1;1;
28/08/2021;508;Brighton;8560;Everton;0;2;
28/08/2021;562;Newcastle;585;Southampton;2;2;
28/08/2021;565;Norwich;547;Leicester;1;2;
28/08/2021;598;West Ham;525;Crystal Palace;2;2;
28/08/2021;550;Liverpool;519;Chelsea;1;1;
29/08/2021;512;Burnley;546;Leeds;1;1;
29/08/2021;593;Tottenham;596;Watford;1;0;
29/08/2021;600;Wolves;556;Man United;0;1;
11/09/2021;525;Crystal Palace;593;Tottenham;3;0;
11/09/2021;494;Arsenal;565;Norwich;1;0;
11/09/2021;10503;Brentford;508;Brighton;0;1;
11/09/2021;547;Leicester;555;Man City;0;1;
11/09/2021;556;Man United;562;Newcastle;4;1;
11/09/2021;585;Southampton;598;West Ham;0;0;
11/09/2021;596;Watford;600;Wolves;0;2;
11/09/2021;519;Chelsea;495;Aston Villa;3;0;
